table_name,sensor,variable,n,min,p05,p25,median,mean,p75,p95,max,std
training_matrix_optical_matched_3d.csv,Landsat,nir,97,0.0041614904494052,0.01267475147801048,0.0256019327984108,0.0408025506527414,0.05405983223641671,0.065179890234066,0.10466922074092518,0.5484465318181818,0.06178688696463604
training_matrix_optical_matched_3d.csv,Landsat,swir1,97,0.0008613126906819,0.0026784995928817,0.004493383350432,0.0092967778331768,0.02116125134547995,0.0182412973447094,0.056186955875621655,0.4171458333333333,0.047685561999453716
training_matrix_optical_matched_3d.csv,Landsat,swir2,97,0.0015432144776792,0.0017763424873307,0.0026929238386924,0.0063790873141412,0.017308861923375312,0.0147046130859882,0.050621340160893126,0.3800238888888888,0.042614126472580637
training_matrix_optical_matched_3d.csv,Landsat,ndwi,97,-0.3412615358829498,-0.06730541139841076,0.0792117435549663,0.1547807759087295,0.17502947349820402,0.2634265640499995,0.44492475325992586,0.698082597424835,0.16408758103693208
training_matrix_optical_matched_3d.csv,Landsat,mndwi,97,-0.1830910295248031,0.08058263699566647,0.424268008361959,0.7443141824106793,0.6233086281881494,0.8435188757178522,0.902903090042764,0.9590055108609776,0.2767380492139543
training_matrix_optical_matched_3d.csv,Landsat,red_green_ratio,97,0.4730106574798567,0.7215729034708739,0.9626133814478384,1.0487588836745003,1.0292725944435803,1.118597323765382,1.2049890835429893,1.3632651528046675,0.1431441366733726
training_matrix_optical_matched_3d.csv,Landsat,green_blue_ratio,97,-1.8659522998192088,0.9150125453372194,1.1769507437228075,1.332078077903024,1.3499992119005064,1.43394400632257,2.269790039735528,3.612670674735704,0.6250955267429801
training_matrix_optical_matched_3d.csv,Sentinel-2,blue,36,0.0126978817169368,0.031030550032493276,0.06927500000000048,0.10448076923076921,0.21316434596582143,0.20505,0.6844571428571429,1.298567844563118,0.2709438049078708
training_matrix_optical_matched_3d.csv,Sentinel-2,green,36,0.0200221379906211,0.03259036292718125,0.06544089599385758,0.09591117871770424,0.1962774978968448,0.19169999999999998,0.6428333333333334,0.9822095258255716,0.2243131294476223
training_matrix_optical_matched_3d.csv,Sentinel-2,red,36,0.0171026250638461,0.04164205939617007,0.0721451294188117,0.10375659309086765,0.19019454395327878,0.201175,0.7118800000000001,0.8141852271281331,0.21468939425630645
training_matrix_optical_matched_3d.csv,Sentinel-2,nir,36,0.0014643296186185,0.018582445764071576,0.04972101296296287,0.08685592480863144,0.17842123033847979,0.21951051805337513,0.6082304195804196,0.9208,0.21819031427208543
training_matrix_optical_matched_3d.csv,Sentinel-2,swir1,36,0.0001087005314367,0.000905623142072825,0.01082196775375595,0.0440799999999999,0.07794050708301341,0.0944140199623022,0.25629708546948515,0.306,0.08834972481820977
training_matrix_optical_matched_3d.csv,Sentinel-2,swir2,36,0.000717817711853,0.0010350295814759252,0.00918105087556885,0.0397269506866417,0.07313469280117421,0.0885557194121729,0.2662420676004872,0.2994,0.08786663130619415
training_matrix_optical_matched_3d.csv,Sentinel-2,ndwi,36,-0.1878272251308901,-0.1302864151686452,0.01038480554774705,0.07629198597609715,0.1288618609629746,0.189072035337785,0.5590777237974796,0.8554780752723878,0.2196659417869789
training_matrix_optical_matched_3d.csv,Sentinel-2,mndwi,36,-0.2304817937144249,0.02820496692664967,0.2085270625571793,0.47215183395820143,0.4945028497228808,0.8276643720707348,0.9649794936397984,0.9904057743696292,0.35225364458770925
training_matrix_optical_matched_3d.csv,Sentinel-2,red_green_ratio,36,0.7586613505770644,0.8189960333495487,0.8928080326892885,0.9536347513320469,0.9972255950963846,1.1407245832462911,1.1966866699789231,1.3476717661601354,0.14184518203937885
training_matrix_optical_matched_3d.csv,Sentinel-2,green_blue_ratio,36,0.5116749268974948,0.7382131519014765,0.8896013679552663,0.9728899463371498,1.061140732343323,1.1686801484922782,1.5592330415726272,2.576833152381195,0.3481719153204887
