dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,river,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Kolyma,29,5,,2.4869403767681284,1.9692994881238433,1.6328187532056235,0.42756150996050024,0.1108838816313587,-0.48634974236417694,0.7102734879264981,0.6920493643075832
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Lena,22,5,,3.4050203013624554,2.5847130269907583,2.1278464444307787,0.4495586975278134,0.16666994670261417,0.3099516659212358,0.5427845457901257,0.6775452341021672
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Mackenzie,44,5,,1.1363481573899181,0.9041012980252905,0.7388492191979115,0.0765797425110969,0.028082752702127952,0.03122933784070847,0.717301681859086,0.7212915732289356
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Ob,26,5,,2.806756728561279,2.398717934120431,2.424654578242258,0.25095366449741796,0.06668899521289672,0.21654580530020073,0.4206566593473719,0.5027782867292343
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Yenisey,29,5,,2.2350338792924873,1.9066067532334217,1.91157150166387,0.3546350334194279,-0.0935499432995122,0.3488947604723176,0.3882729854221856,0.5980429086715773
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,river_year_groupkfold,Yukon,38,5,,1.8853623217035933,1.4316105315954113,1.235677192012372,0.5783606046380931,-0.013883825765169513,-0.4879872999698749,0.8188433562620191,0.7870089991781027
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Kolyma,29,1,,3.255049289494434,2.455145397363268,1.3797890675223385,0.019351836842095738,2.068961879577975,1.3006575427679028,0.734417366461634,0.6913258668714984
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Lena,22,1,,4.004312206802508,2.9496593150598325,2.351302508045533,0.23874972116989224,1.9565319431912747,1.758266630629655,0.5297938646734005,0.6620576764376801
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Mackenzie,44,1,,2.4851237257957615,2.146865132615155,2.177328253681672,-3.416442746918105,-2.0891294244873713,-2.177328253681672,0.6593592700579689,0.6708831829007811
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Ob,26,1,,3.6463005058748323,2.9773929969382875,2.6172730828769915,-0.26416585009168214,2.286284305618958,2.6172730828769915,0.3915868902054804,0.48784966349506453
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Yenisey,29,1,,3.2846827317992804,2.8001295941218904,2.346655933867424,-0.3938756118837292,-2.635162240034355,-2.346655933867424,0.5383099448905301,0.730583558759618
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_river_out,Yukon,38,1,,2.0841303505753643,1.7697215741768215,1.5982064452550384,0.4847698239023468,-0.7413169826065948,-1.2078961466160534,0.8109646015311806,0.7989844842488363
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Kolyma,29,11,,2.5392806577983924,1.8374917913803113,1.4335437439716028,0.4032128135807036,0.3814956638828434,-0.20514511946981973,0.7036216030239607,0.6630956837460661
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Lena,22,9,,3.5610133105947708,2.5706769588503824,1.7119223235681909,0.39796908045351354,0.5361070666238629,0.481755495148104,0.4857385113210282,0.6528335475750182
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Mackenzie,44,16,,1.1688916833328966,0.9662620195533215,0.8266318530913599,0.022931278145867595,-0.3298280589263969,-0.5417046575939799,0.6839601237302194,0.6847893808904945
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Ob,26,10,,2.782767348421814,2.342069785398606,2.3493473098599282,0.2637031598929179,0.5764168981177765,0.8396168177185763,0.5054719857848907,0.5547060803827728
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Yenisey,29,13,,2.0986085478137455,1.7297635465168264,1.7047347882602057,0.4310160188125284,-0.6425138508753502,-0.38381482551767654,0.5341217210630066,0.7148058758095106
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,leave_one_year_out,Yukon,38,13,,1.9858353479902147,1.5468083503816477,1.3818993231767067,0.5322239218266981,-0.08467655443698492,-0.5324206781721301,0.7839360957184425,0.7689080173695398
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_10,river_year_groupkfold,Kolyma,29,5,,2.479338839588486,1.7871243361969253,1.5010327755292545,0.43105557220757484,0.3938038997592111,-0.14187538568943747,0.6920423959713956,0.675882994961521
