dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,month,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,8,23,10,,2.049340549687682,1.6644575816078897,1.2631489516099244,0.6029392209322955,0.08364517666355209,0.3035560705107372,0.728620949127177,0.7773607294183834
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,9,27,10,,1.9266565933843924,1.61417661941949,1.528358894228501,0.07716322034682421,0.27187617166772654,0.1112034550223342,0.5905343786741748,0.5790542598145921
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,10,11,7,,1.340163062665075,0.8884783340338153,0.6540210350805977,0.09729472647844939,-0.03585507776927994,0.07990739091259513,0.8727272727272729,0.7215807035754782
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,11,3,2,,0.5369923344974752,0.5049446368166398,0.43698764522538003,0.8956061445413066,-0.21361953999971975,-0.3229974346068234,1.0,0.9774744257040193
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,1,1,1,,0.6431817885710212,0.6431817885710212,0.6431817885710212,,-0.6431817885710212,-0.6431817885710212,,
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2,2,1,,1.5172853246693019,1.343573654744393,1.343573654744393,-11.000139469865237,-0.704957155246773,-0.704957155246773,-0.9999999999999999,-1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,3,2,1,,4.156589751219476,3.625289050056215,3.625289050056215,-6.10856754689413,-2.033351337935795,-2.033351337935795,-0.9999999999999999,-1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,4,5,3,,2.3857624111849867,1.8204469121632805,1.6697974316807924,-1.0545272461100206,-0.28784049177100873,-0.13946476744888558,0.5642880936468347,0.4963830005132195
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,5,14,4,,3.8033504503965636,3.027232624075046,2.7332089873734113,0.61363011968588,2.2675921830554495,2.2933779635776084,0.8813186813186813,0.8929939795091025
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,6,56,5,,2.347115310607892,1.7616499743316625,1.2861589028598686,0.6171188990239915,-0.41475647176923475,-0.5665055920010356,0.8089012089836998,0.7931461975578397
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,7,25,5,,1.9603332814457302,1.2525995686975961,0.6546244428077115,0.7002680323834496,-0.10664987375666915,-0.1375488157086764,0.8330769230769232,0.8378685408518977
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,8,24,5,,2.0652610917672756,1.6679546179652334,1.8387663143326518,0.579806126298231,0.15608636516613902,0.010276385593702475,0.7529361303840679,0.7644656859591118
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,9,27,5,,1.9188928437905337,1.6103668012488828,1.601774780135889,0.08458565165932874,0.2602036825754544,0.39707121528580736,0.5929771268796522,0.5893564743693193
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,10,11,5,,1.380898050249134,1.0323025492008027,0.617083532450077,0.041584288082285537,0.0658108099773544,0.5750863746728858,0.790909090909091,0.6874943145953893
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,11,3,2,,0.6101222329886227,0.5117168558962982,0.6132506775905107,0.8652364425523092,0.10288307083595782,0.06363311913179981,1.0,0.9745871129250426
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,1,1,1,,0.8751777023173677,0.8751777023173677,0.8751777023173677,,-0.8751777023173677,-0.8751777023173677,,
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,2,2,2,,1.361161410886873,1.0372849526696735,1.0372849526696735,-8.657640512539048,-1.0372849526696735,-1.0372849526696735,0.9999999999999999,1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,3,2,2,,3.2642634851461847,3.2584113937645767,3.2584113937645767,-3.3840771026223697,-0.19537474105908226,-0.19537474105908226,-0.9999999999999999,-1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,4,5,3,,1.983000597370489,1.63014731248725,1.4033652242222372,-0.41939480550523967,0.0993998470047666,-0.1132998232126643,0.5642880936468347,0.43425896718578505
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,5,14,3,,4.2972770880847175,3.4806937408776686,2.6562393090686265,0.5067611340027547,2.6180401367005466,2.5135824190434453,0.8241758241758241,0.8593246263976734
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,6,56,6,,3.2444852052117565,2.7712440446406887,2.922968435502576,0.2683781395260022,-0.9226405893733034,-1.2932655843865524,0.5102462959136107,0.5758614207864526
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,7,25,6,,3.1125377772106186,2.682300914375919,2.3609326488108318,0.24438164197671985,-0.03766680675916957,-0.9622020770485982,0.6546153846153845,0.5031123403482006
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,8,24,6,,3.295748585718954,2.9778728973524218,2.944802297320484,-0.07005952812033467,0.2737068668330161,-0.9163908901674773,0.26185300432767705,0.33584517989498885
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,9,27,6,,2.7379313144920205,2.1191953808455133,1.6602869048934181,-0.8636371827454319,-0.02434170411766964,-0.7651160638687164,0.2396946676624753,0.19240648353678488
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,10,11,5,,2.137112940667879,1.8750446301621653,1.818964899867165,-1.2955440978840023,-0.5486167774112493,-0.9671303309577945,0.5090909090909091,0.49114508585945793
