dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,early_season,61,6,,3.4144850665579987,2.81171415756715,2.669638946243208,0.40429873679436634,-0.1552382794142738,-0.3058371359852732,0.5905562915340262,0.6373606940088768
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,late_season,31,6,,2.48739703966658,1.999600890557854,1.7169669371297385,-1.1237191321390392,-0.32737836433087036,-0.8315234731652605,0.16639775456291594,0.12983647859198588
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,spring_freshet_provisional,85,6,,3.319640476289357,2.7641983102017313,2.605291832762619,0.4065264644518043,-0.11968904409554562,-0.3999427991689437,0.5995788112544376,0.639064167226325
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,summer,47,6,,3.200789029637648,2.8069369325908284,2.766090203837944,0.17871577412888884,0.1451864255552824,-0.8746685396183551,0.5724116057152638,0.4740051623260763
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,early_season,60,17,,2.674351265039967,1.9253834139765358,1.3599833517905768,0.6374931967904498,0.06091692936350747,-0.19521641105844223,0.8212539020345025,0.7997678730561535
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,late_season,31,14,,1.5527808911513008,1.2554486503584104,0.9212885246985909,0.1723871806478915,0.17841643805318133,0.37812065574467013,0.6032674956335535,0.641895674523306
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,spring_freshet_provisional,84,17,,2.492994136142367,1.7529204227281674,1.2230179222843298,0.6662848930941414,0.01055519979921536,-0.1842510300800566,0.8366629928668957,0.8178562164107427
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,summer,46,16,,1.9843100964427154,1.4639392266385403,0.9355215201029976,0.6900669388519952,-0.014000255904425904,0.009508961290794371,0.8236854377034655,0.8318325888612987
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,early_season,61,5,,2.6451042578665214,1.8825782116940453,1.2284473684805581,0.6425101834978103,0.05684085669928355,-0.31369558098717576,0.8177238408724923,0.8031109201115941
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,late_season,31,5,,1.6258559890923325,1.298530697057146,0.9157769894049803,0.09265802269339896,0.13479259707228508,0.2766099943763116,0.5736184411841612,0.615559430904321
