dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,group_type,group_value,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,p05_residual,p95_residual,flags
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_0.1,leave_one_year_out,sensor,Landsat,30,2.4343601082751056,1.8149671827773806,1.2485638567326687,0.7373468467458482,0.23764835477280913,-0.11798231173416518,0.8913866896926571,0.8609550923530002,-2.8510013256176583,4.761235688830302,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_0.1,leave_one_year_out,sensor,Sentinel-2,28,2.657904198559099,2.0376440336617008,1.4695493371549997,0.09446326549467987,-0.040196924669854174,-0.5184603999602397,0.4976731640072324,0.6120860261198963,-4.185973325597927,4.267193828707165,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_1,leave_one_year_out,sensor,HLS,15,1.6834228590915974,1.3533969316988748,1.2191050166889,0.8465105326502668,0.21050680878630307,0.2934674396808923,0.8185883518926541,0.9235602356848703,-2.0476379114335206,2.5958072741160225,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.4508856689754324,1.734667833887696,1.120060404072161,0.7337687210281909,0.2111766750972971,-0.1960714945923554,0.8893835735360445,0.8617117745970793,-2.585279765307369,5.1317928428706026,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.396773162565783,1.8253349623799602,1.231975822038767,0.26365508391058157,-0.03412023650354407,-0.5608148901139249,0.5064330876861276,0.6549094166835396,-3.861668709384665,3.885512284224447,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_10,leave_one_year_out,sensor,HLS,15,2.172123698109848,1.661456690675183,0.9847337570373234,0.7444586137828191,0.2529112769633432,-0.20975805061299546,0.823950284328632,0.8957447505295588,-2.7831713317680826,3.383086621372981,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_10,leave_one_year_out,sensor,Landsat,30,2.9670104906094137,2.0545260808777366,1.6130309059852852,0.6098324581289218,0.16161733830832964,-0.6409568534755758,0.870020117355455,0.8115587182826051,-2.64860094007878,7.289226098503136,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_10,leave_one_year_out,sensor,Sentinel-2,28,2.127296793220876,1.6624838836717863,1.2754343596530004,0.4199257364870085,-0.026868614654562677,0.012354925172871845,0.5231316921990214,0.6647245053836892,-3.2434773755517945,3.3980968634959345,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,sensor,HLS,15,3.3310901935618222,2.516384578146822,1.8213600582826937,0.39901321487644315,0.2580489531987269,-0.4343952523627337,0.8203756627046468,0.8047649871815855,-3.5518284807366953,5.663352937185433,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,sensor,Landsat,30,4.031950774108991,2.9390522542855346,2.176885172375228,0.27948435371929936,0.3958890976104605,-1.2102645825471883,0.7507234218060757,0.6821101056409866,-3.089490871644143,8.97068535697391,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,sensor,Sentinel-2,28,2.421574420374096,1.9906664173985826,1.7088131335415677,0.2483371828884886,-0.3388281766015218,-0.9168338232503168,0.32822339034360376,0.5169924991393368,-3.112420114427591,4.494747641659437,
