dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,168,18,2892,2.4855832482756677,1.8067891510829188,1.2283882560776784,0.6111620125629407,0.05544832198671025,-0.13004995310215817,0.8103130931053837,0.7886602516880842
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,170,5,680,2.532739908139455,1.847944579484849,1.3777962054038353,0.5961894302477906,0.1816564652493285,-0.08956873466922488,0.8086692083150392,0.7829339001123036
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,170,6,850,3.1758216892330142,2.6022488270480046,2.368378646239795,0.36509504552752237,0.04855484170059045,-0.48650607669657786,0.6440348829894358,0.6389608024017129
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,168,18,2892,2.441567775315648,1.7831625931676152,1.1892682830081391,0.624811404578192,0.03838630868568179,-0.11244086378881857,0.8128542235454612,0.7951122333283183
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,170,5,680,2.495476330320273,1.8252150475845905,1.3774916139640552,0.6079843500525721,0.1617218759460994,-0.07362647907555031,0.8104181945896043,0.7881206251124242
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,170,6,850,3.1340407974956426,2.5929165264009426,2.373320483253047,0.3816906889488274,-0.02190064091328502,-0.6847651066244334,0.6429185607443572,0.641040440598469
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,168,18,2892,2.359596840562066,1.7312961241517537,1.2094803547796267,0.649580978971628,0.01092450910726206,-0.10485931070277843,0.8199638205635665,0.8071977823476184
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,river_year_groupkfold,170,5,680,2.4060016775728075,1.7707728438569024,1.2417862535955462,0.6355916272077724,0.1116723704161735,-0.1626829394445859,0.8173750561956952,0.8000269082610758
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_river_out,170,6,850,3.1161756703528374,2.592679299571707,2.3905540449367693,0.38871975566558237,-0.12775062702618256,-0.973229783228371,0.6301150529816024,0.6283441820589011
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,168,18,2892,2.3693804323488328,1.7674058460540103,1.2690919049917664,0.6466690712327565,-0.0006885585201395034,-0.2959709578435956,0.8123214466952258,0.8055797953235038
