dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2024,1,1,,1.114446049922762,1.114446049922762,1.114446049922762,,-1.114446049922762,-1.114446049922762,,
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2004,6,4,,3.3627268742443706,3.0582284345077704,3.5152539873973727,-0.2018350056316467,-1.652183236343444,-2.6621964742073034,0.6571428571428573,0.4084709850079514
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2005,11,4,,3.5546205592869917,3.2234944429018784,3.634738131254961,-1.198617454889697,0.1109565587586173,-0.98659533705953,0.26363636363636367,0.3553365484549856
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2009,12,6,,3.266439960428205,2.8094715110796766,2.9867491706041975,0.1567870643529541,-0.8356702139870676,-1.661302619978713,0.43356643356643365,0.5980907901763994
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2010,4,3,,5.013248652418735,3.6269331392335626,2.07813780336016,-0.05413949410347407,3.219854687943557,2.07813780336016,0.6000000000000001,0.7631535977085203
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2011,9,4,,3.5704227523630605,2.71859691418726,2.415506052349367,0.5137269319516558,1.6094168685222214,0.8959467859702475,0.65,0.867566960600131
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2012,2,1,,3.563939726902286,3.5420566127925546,3.5420566127925546,-61.724278404900396,-3.5420566127925546,-3.5420566127925546,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2013,2,2,,6.759446280546044,6.398113927167774,6.398113927167774,-1.1592681483737115,2.180424773884555,2.180424773884555,-0.9999999999999999,-1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2014,7,5,,3.5008835293302627,3.0638415514849817,2.792378737157488,0.4934178921882245,0.09781577050721735,-1.709855738059801,0.8214285714285715,0.703126982551761
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2015,2,2,,1.1090290845192663,0.7876452161427261,0.7876452161427261,0.9285849609342638,0.7876452161427261,0.7876452161427261,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2016,7,5,,2.5338621527170333,1.8913925185397282,1.6431184133109298,-0.04888448702946624,-0.7950800659185594,-0.34455862080633537,0.9285714285714288,0.8399699280598119
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2017,6,4,,2.338687886844111,2.093468545352741,2.035299829167623,0.44653531269797186,-0.7366019925743257,-0.9580356303663344,0.942857142857143,0.8211220375133734
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2018,11,6,,2.726686651944011,2.487589125061505,2.490813092699936,0.05361649535583912,-0.49053341268615297,-1.2153808684096354,0.6560381485126155,0.562855776439462
