dataset_id,window,sensor_scope,comparison_id,comparison_feature_set,feature_set,model_id,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,sensors_in_test,fold_skipped,skip_reason,rmse,mae,bias_mean,r2
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2010,2010,2010,,184,4,Kolyma;Yenisey;Yukon,Landsat,False,,4.688407823633382,4.058877554703329,4.058877554703329,-0.44851188933816877
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2011,2011,2011,,181,7,Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,4.308329359234777,2.986091872524264,2.809975881705691,0.4276127177378398
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2012,2012,2012,,185,3,Mackenzie;Yenisey,Landsat,False,,2.029072292275335,1.9980056717690822,-0.44356341531844495,0.3661613187561523
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2013,2013,2013,,184,4,Kolyma;Lena;Mackenzie,Landsat,False,,0.8659067184660779,0.6644001867486808,-0.4530836079806402,0.9307149227758876
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2014,2014,2014,,185,3,Mackenzie;Ob;Yukon,Landsat,False,,2.764518965184365,1.892655951001137,1.892655951001137,0.7912247739337817
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2015,2015,2015,,181,7,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,1.9882149148650032,1.6346344536038109,-0.2032368011712799,0.46885782374440343
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2016,2016,2016,,173,15,Kolyma;Lena;Mackenzie;Ob;Yenisey,HLS;Landsat,False,,1.8819464036560312,1.5308733811842536,-0.26987641501760107,0.24426956935054855
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2017,2017,2017,,170,18,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat,False,,2.4607401198175927,1.7707126372079842,-0.5579483956218224,0.21196240854808512
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2018,2018,2018,,163,25,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.145231373965967,1.8447906720640534,-0.45043055912779545,0.4144848850847771
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2019,2019,2019,,164,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Sentinel-2,False,,2.2120952998601937,1.7044376679119762,0.2030538051862788,0.6573723257160871
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2020,2020,2020,,169,19,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.8076564163142002,1.3254790360333353,-0.29014405913693864,0.6511821601032735
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2021,2021,2021,,171,17,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.180161458468444,1.8583848847263904,-1.5686587075466019,-0.4195881964301571
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2022,2022,2022,,178,10,Mackenzie;Yukon,HLS;Sentinel-2,False,,2.036326783622453,1.5596335616971462,0.896167501795383,0.5674609336928783
