model_id,feature_set,target_scale,year,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2010,29,2.8085165722117473,2.208618326580751,1.360833615261949,1.4287966941658485,-1.6951750615998045,5.196926933983389,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2011,29,3.3450091787636476,2.25749481531599,1.837457260126186,0.9484541857053568,-0.8877418434393142,7.558653453722919,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2012,21,1.7956085126939736,1.3077747449697132,-0.051359642235036716,-0.4027667210662429,-2.0428273087882225,1.984316312071134,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2013,30,2.3717380466799973,1.7651248340044121,0.026156855381821116,-0.26359446313163515,-2.9067272204827423,3.604067859299473,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2014,31,2.7500680270834823,1.7349244667341113,0.5697118992308817,-0.1258362615719566,-2.4935281874716533,5.155666536248797,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2015,33,2.006096348291483,1.6168966303110008,-0.34611175274321754,-0.7796388560390421,-3.2711872825941017,3.3511987597468345,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2016,34,1.9450501581365736,1.5156712779363937,-0.5884737430728495,-0.6274734957771395,-3.633591763200787,2.4140279197172885,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2017,32,2.2419592013874143,1.584304152447386,-0.23917837947588716,0.28062140707350114,-5.0518605754636345,2.6488384594304866,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2018,32,2.1141968653538683,1.6069982266168061,-0.3895155272840787,0.08287522929165525,-4.423809353649828,2.624418624740232,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2019,24,2.198173577095899,1.7144905331132037,-0.03407430957434362,-0.49182769363732337,-2.6680266263200005,3.7903794992764537,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2020,29,1.6736814658040617,1.2870757837001354,-0.22981588238112383,-0.3412475627909677,-2.547267243007132,2.5343487936576294,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2021,34,1.9862547730617162,1.5706259280648163,-0.8274013759745602,-0.6140875287846321,-4.218017587737424,1.956034598373225,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2022,10,2.1707829275197104,1.493251801835781,0.7214854560615455,0.4909532871419575,-1.4479260022987026,4.0698978381900695,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2023,12,1.5730706314965384,1.234101541880025,0.8575129173686363,0.8731921145476884,-0.964332052941919,2.768023349896092,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2024,6,0.949986851344152,0.7706841892604558,-0.7215534654598121,-0.6573364606899637,-1.6437420675257641,0.021998424220037727,small_n;systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2003,5,2.0471671064077728,1.6642763477543128,-0.7341621071837073,-0.8884038696566305,-3.3313031905357517,1.5993402970725155,small_n;systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2004,41,2.1400205042571723,1.8503362270779726,-0.7233003493369081,-1.2076972986166492,-3.0914078139207866,2.1207062563516033,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2005,41,1.6650340449271128,1.2982915265821153,-0.024989162615907393,-0.26514546115568205,-1.882707080451591,3.0089971374332096,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2006,10,2.0689225079710787,1.7478052274804554,1.2069579495484766,1.3856668320223222,-1.2312652780558333,3.2202287521696293,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2007,1,1.4883181851624592,1.4883181851624592,1.4883181851624592,1.4883181851624592,1.4883181851624592,1.4883181851624592,small_n;systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2009,27,2.6774985696115836,2.115611186694728,-0.21894467505549772,-0.7323137219672686,-3.19741358143077,5.65467545161085,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2010,29,2.8967122769906855,2.2453259447837266,1.4158559160642517,1.490116358498618,-1.6760796008553531,5.355174967255236,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2011,29,3.4407290344051886,2.3013657163448134,1.8945977539090488,1.1889735166405586,-0.8660007466471131,7.686323078867373,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2012,21,1.8441930351419036,1.3311485523772122,-0.059000695644961396,-0.2891136867967914,-2.02252694690175,2.031492720798971,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2013,30,2.334224230950121,1.6944117100409504,0.0014907152938822056,-0.22505963056459066,-2.805507741460106,3.409700330617147,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2014,31,2.7907106660739616,1.7394429678875665,0.5754238371275485,-0.15926780027918763,-2.262732066281698,5.3259392643075225,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2015,33,2.039134609224557,1.656862579747388,-0.38993908536788563,-0.8334229402969568,-3.199671404029115,3.171507362695404,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2016,34,1.8763261462273075,1.462849747214341,-0.6181840749927625,-0.6236399505247392,-3.502475733880906,2.2324413677594657,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2017,32,2.1887307200961725,1.5508591208984297,-0.24144231219898715,0.2796146835452311,-4.901279116044072,2.6682073510884154,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2018,32,2.099959935689851,1.598041138262123,-0.40371529620549673,0.08911500154016094,-4.262900160707453,2.56903842793481,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2019,24,2.2075340185641545,1.7131062475496022,-0.04524703709663369,-0.6699960818787662,-2.4682652770622684,3.823278703653686,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2020,29,1.6466875611939233,1.263233873929676,-0.22751556011944885,-0.40050791255480167,-2.3688509974058816,2.6625347626895843,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2021,34,1.9725459469508215,1.5406563311012256,-0.8079827253180125,-0.6224811470347289,-3.9986038233681502,2.061896569356108,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2022,10,2.1777650876464016,1.508735921322185,0.6034583733844013,0.511338909317395,-1.5768428573534996,4.024691943846545,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2023,12,1.5847661362838839,1.2119902398674722,0.7441301934944575,0.7794798548352064,-1.052141682600159,2.8393840788640823,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2024,6,1.0867995032440678,0.9288627885107651,-0.9288627885107651,-0.7910209067500025,-1.785470402250298,-0.27280116898393014,small_n;systematic_negative_bias
