model_id,feature_set,target_scale,validation_scheme,n_test_total,n_folds,ablation_id,sample_scope,common_subset_n,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,rmse_log_space_mean,mae_log_space_mean
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.2159252904772724,1.56283545754769,1.071345743905411,0.6109500514698312,0.2862968138247705,0.04195190703057605,0.8123405841694397,0.7859323309537386,0.29247946870717734,0.2359677636565993
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.3372710879022587,1.633488585682113,1.134656916529876,0.5671740333330619,0.22833082959548015,0.06170714746087036,0.8096248827302395,0.7591927923202877,0.29970451757897204,0.23574582336290298
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.2407770032345224,1.6649203993655768,1.2283399864353841,0.6021746886100945,0.00998950652544637,-0.21956390319593044,0.8030056780632441,0.776022124863354,,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.2965288610998953,1.700370655363723,1.2594016660114136,0.5821321589619306,-0.03710645092237681,-0.23678214823194388,0.8000912601818615,0.7650657898120123,,
ridge_alpha_10,F2_q_season,log,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.75599840026079,2.0182201181477444,1.5311747986377844,0.39275447644168715,0.5205872662725707,-0.08714450240290894,0.6227713784500393,0.6624157855855995,0.3686301769245077,0.3086296372660524
ridge_alpha_10,F2_q_season,log,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.7616595761163474,2.019377808722464,1.4731391068669488,0.3902571930907469,0.5311709220563144,-0.09097590545080525,0.6236497863614113,0.6605894608463068,0.38666100081174154,0.3156410830067997
ridge_alpha_10,F2_q_season,raw,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.797105745430135,2.2121445244859155,1.833205548915375,0.3745045277451694,0.0064956829270372855,-0.5802127035600044,0.5986766546304461,0.6119741905334379,,
ridge_alpha_10,F2_q_season,raw,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.8164193002153457,2.214602485329506,1.8616015177867888,0.3658368195865087,0.030354573165823857,-0.5524766348099002,0.5967864726305933,0.6050932651206269,,
ridge_alpha_10,F3_q_season_river_fixed,log,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.27431965630322,1.6312211935730638,1.1869735515503224,0.5864677261622785,0.3550999366238198,0.07732506146898732,0.8057949948814882,0.7748893834780122,0.31152904138090565,0.2565541380152892
ridge_alpha_10,F3_q_season_river_fixed,log,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.2642742443920807,1.6279281227365485,1.1742984501777638,0.5901127088884862,0.3763195942715203,0.10025699068160865,0.8079623620598896,0.7795904841552136,0.3080509451777224,0.24903801468402326
