ablation_id,sample_scope,model_id,feature_set,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,rmse,mae,bias_mean,r2,rmse_log_space,mae_log_space
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2014,2014,2014,,480,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.596108999010349,3.29306498655914,0.14822372311827994,-0.001041134217093953,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2015,2015,2015,,478,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.548615787176837,3.156346836566502,-1.341538798022061,-0.166750215377669,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2016,2016,2016,,477,34,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.672105307697498,2.2438103341965716,-1.4706704895794802,-0.43454935709382614,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2017,2017,2017,,479,32,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.7282027134049223,2.3981351774530273,-0.7150203549060543,-0.07375450205971923,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2018,2018,2018,,479,32,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.871254237667068,2.5285043058455114,-1.0450634133611696,-0.15270780025326447,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2019,2019,2019,,487,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.721615002931216,2.8519683436002734,-0.22454004106776138,-0.0036534949306314957,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2020,2020,2020,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.969108525373464,2.4453293747317217,-0.38688124195163925,-0.01727190550168034,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2021,2021,2021,,477,34,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.5429192689203886,2.049761376248613,-1.1046082130965598,-0.23257613258797782,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2022,2022,2022,,501,10,Mackenzie;Yukon,3.275458684555478,2.5396249500998005,-1.0686061876247503,-0.11911480950115627,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2023,2023,2023,,499,12,Mackenzie;Yukon,2.6966474804699314,2.369069973279893,-0.8223899465597851,-0.10254215354896767,,
