candidate_key,model_id,feature_set,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_fold,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,stress_test,overall_rmse,small_fold_n,high_rmse,high_bias,unstable_fold
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2020,2020,2020,,514,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7423635590801387,1.383895630769391,1.0894112494785042,0.6505088062421348,-0.2501202604475548,-0.3090658317990145,0.7633064516129033,0.8116149661270651,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2021,2021,2021,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.9682664460813526,1.5786632463644603,1.4897670795942801,0.2509348821542451,-0.7654909732328268,-0.5697258171803403,0.6792318634423897,0.6721284461995,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2022,2022,2022,,535,10,Mackenzie;Yukon,2.263897580372367,1.5479410525701494,0.9722021483160577,0.46538155058176434,0.7687004259178238,0.49274340615494916,0.7212121212121211,0.7642725467109572,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2023,2023,2023,,533,12,Mackenzie;Yukon,1.6054784842172005,1.2656172693813508,1.114071388235861,0.6091988541474512,0.9301690399517897,1.064582029814106,0.8251748251748254,0.8801199196997597,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2024,2024,2024,,539,6,Mackenzie;Yukon,1.0143598253378883,0.7676510984453179,0.6308046851354383,-0.3420832321617093,-0.7489741445591113,-0.6308046851354383,0.7714285714285715,0.8790500908852599,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2003,2003,2003,,540,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.257730104561956,1.8121611218310203,1.6669429839185521,0.41890729308648644,-0.892221939463262,-0.8801122642065069,0.7,0.7142320203932576,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2004,2004,2004,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.3058658608889573,1.9795417880257222,1.7860529759453927,0.5378659434562507,-0.7590477470471305,-1.1438565866218677,0.7753597069852369,0.766835059559893,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2005,2005,2005,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.752457980183849,1.4498659342384979,1.188523808043338,0.6663821838195801,-0.0806299693011338,-0.22160789741735165,0.827267612583817,0.8180915253266823,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2006,2006,2006,,534,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.186456026479089,1.779846670295977,1.627854867293392,0.5966337638293142,1.0483527606610006,0.4433172619023811,0.9090909090909091,0.8340363379653197,False,2.2578457483025893,False,False,True,True
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2007,2007,2007,,544,1,Mackenzie,1.9837131278013378,1.9837131278013378,1.9837131278013378,,1.9837131278013378,1.9837131278013378,,,False,2.2578457483025893,True,False,True,True
