candidate_key,model_id,feature_set,target_scale,validation_scheme,n_test_total,n_train_total,n_folds,stress_test,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
R4_river_specific_Q_and_season:ridge_alpha_1:raw:leave_recent_years_out,ridge_alpha_1,R4_river_specific_Q_and_season,raw,leave_recent_years_out,65,480,1,False,1.5119407712173236,1.196358205207624,1.0550839804954926,0.6184659917794675,-0.24095329215378186,-0.32354192398395076,0.7278846153846154,0.7990652750747107
R4_river_specific_Q_and_season:ridge_alpha_1:raw:river_year_groupkfold,ridge_alpha_1,R4_river_specific_Q_and_season,raw,river_year_groupkfold,545,2180,5,False,1.8951214092959776,1.3823372785330366,0.9902295005916804,0.712868740830847,0.018537433079699468,-0.1545992578368134,0.8444315248172963,0.8443596509916774
R5_season_window:linear_regression:raw:leave_one_river_out,linear_regression,R5_season_window,raw,leave_one_river_out,545,2725,6,True,3.1128141381121446,2.4545768027836843,1.8790099534778397,0.22533705891966682,0.028811309585242983,-0.6487277585252356,0.5199625506044535,0.5340282782861743
R5_season_window:linear_regression:raw:leave_one_year_out,linear_regression,R5_season_window,raw,leave_one_year_out,545,10900,21,False,2.1877279360421804,1.6349041042981722,1.256809196922612,0.617357659099989,0.0004559208195759511,-0.1330200383747968,0.8062441327269645,0.7858134659265532
R5_season_window:linear_regression:raw:leave_recent_years_out,linear_regression,R5_season_window,raw,leave_recent_years_out,65,480,1,False,1.816310528894889,1.4290490881564106,1.2122469239410822,0.4493902478265601,-0.11844723133834478,-0.049452922234244134,0.6678321678321678,0.6989475826695749
R5_season_window:linear_regression:raw:river_year_groupkfold,linear_regression,R5_season_window,raw,river_year_groupkfold,545,2180,5,False,2.183356215868512,1.6399607410527668,1.279283985923195,0.6188853937295615,0.013587316494011471,-0.1170160604495063,0.80943865669632,0.7868027574138942
R5_season_window:ridge_alpha_0.1:raw:leave_one_river_out,ridge_alpha_0.1,R5_season_window,raw,leave_one_river_out,545,2725,6,True,3.1126005487711295,2.4544177472952358,1.881161101080119,0.22544336405909826,0.02903507265602077,-0.6493890913605638,0.5198600239657981,0.5339536582618122
R5_season_window:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R5_season_window,raw,leave_one_year_out,545,10900,21,False,2.1876457936753466,1.6346430642524306,1.2583963898965864,0.6173863926156551,0.0004868322385638035,-0.130999890010699,0.8061929435411428,0.785824049599042
R5_season_window:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,R5_season_window,raw,leave_recent_years_out,65,480,1,False,1.816178110993746,1.4288744956618817,1.2142804749349718,0.4494705291758151,-0.11923864304116467,-0.045767315421358035,0.6678321678321678,0.698888720186
R5_season_window:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,R5_season_window,raw,river_year_groupkfold,545,2180,5,False,2.183317027956497,1.639723022155484,1.2810575393003525,0.6188990744578995,0.013623349066658396,-0.1173722304708722,0.8094722762412443,0.78680216991554
R5_season_window:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,R5_season_window,raw,leave_one_river_out,545,2725,6,True,3.0781016375638024,2.426337767011933,2.0188292042777753,0.24251800975287108,0.04798933886875914,-0.6320815197820684,0.4886324707428304,0.49972394522128605
R5_season_window:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R5_season_window,raw,leave_one_year_out,545,10900,21,False,2.4101986388799945,1.7939737531720379,1.4403481797808082,0.5355787603027529,0.005100899180835638,-0.4054183593852141,0.7800286717041792,0.752197880218316
R5_season_window:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,R5_season_window,raw,leave_recent_years_out,65,480,1,False,1.947508077219096,1.5439260987391865,1.198706100508499,0.36697300103539643,-0.5026782863802739,-0.6140841822682805,0.5894667832167833,0.6398005113993852
R5_season_window:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,R5_season_window,raw,river_year_groupkfold,545,2180,5,False,2.4594956542404467,1.8408184321215717,1.4279409657819375,0.5163863851572339,0.017409251676692144,-0.42391918029468645,0.7661453935208463,0.7402986263170239
R5_season_window:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,R5_season_window,raw,leave_one_river_out,545,2725,6,True,3.0982316986669973,2.443818788718914,1.9054959490949943,0.23257810507371668,0.04390114566177545,-0.6151649178515459,0.5116703473023576,0.5273801734351409
R5_season_window:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R5_season_window,raw,leave_one_year_out,545,10900,21,False,2.1926734433729305,1.6251299950840699,1.2843468313832846,0.6156257258231178,0.0022859219806734394,-0.15814347842631093,0.8080615526907795,0.7852237410994577
R5_season_window:ridge_alpha_10:raw:leave_recent_years_out,ridge_alpha_10,R5_season_window,raw,leave_recent_years_out,65,480,1,False,1.809645314933564,1.4261822646313005,1.1539019380240014,0.45342391726424347,-0.18837964482643835,-0.22729909177343277,0.6616695804195805,0.6936489960796317
R5_season_window:ridge_alpha_10:raw:river_year_groupkfold,ridge_alpha_10,R5_season_window,raw,river_year_groupkfold,545,2180,5,False,2.1961111566653444,1.6350918627181161,1.2729928792511025,0.6144195230587097,0.01609238721952471,-0.17804724321985432,0.8089984148715514,0.784668849285875
R5_season_window:ridge_alpha_1:raw:leave_one_river_out,ridge_alpha_1,R5_season_window,raw,leave_one_river_out,545,2725,6,True,3.1107892820403285,2.453029222937582,1.8925761650727733,0.22634455292140654,0.030970066697328817,-0.6471440962264019,0.5192013106991513,0.5332849080175549
R5_season_window:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R5_season_window,raw,leave_one_year_out,545,10900,21,False,2.187075568820992,1.6324986561530337,1.257493379775629,0.6175858283329625,0.0007459706154921029,-0.14246371360908938,0.8062340505701625,0.785897608827146
R5_season_window:ridge_alpha_1:raw:leave_recent_years_out,ridge_alpha_1,R5_season_window,raw,leave_recent_years_out,65,480,1,False,1.815032504215164,1.4273724215378736,1.2324452313556797,0.4501648348462921,-0.12624538845341743,-0.014708231792791793,0.6692744755244755,0.6983732475093234
R5_season_window:ridge_alpha_1:raw:river_year_groupkfold,ridge_alpha_1,R5_season_window,raw,river_year_groupkfold,545,2180,5,False,2.1831941036916356,1.6377610232186053,1.2721232417479147,0.618941986441585,0.013932226844447908,-0.12486837663893269,0.8095899631818555,0.7867675056065888
R6_high_flow_indicator:linear_regression:raw:leave_one_river_out,linear_regression,R6_high_flow_indicator,raw,leave_one_river_out,545,2725,6,True,2.941748073640195,2.353629043085762,1.956124276898684,0.30814138174852546,-0.03988267331599385,-0.6628219232616477,0.4979887493218172,0.577585145695186
R6_high_flow_indicator:linear_regression:raw:leave_one_year_out,linear_regression,R6_high_flow_indicator,raw,leave_one_year_out,545,10900,21,False,2.1266191149741793,1.5662042032097885,1.2555216582085764,0.6384354640959515,-0.002268671267798253,-0.14606265361087978,0.8103579121694413,0.7991193759853534
R6_high_flow_indicator:linear_regression:raw:leave_recent_years_out,linear_regression,R6_high_flow_indicator,raw,leave_recent_years_out,65,480,1,False,1.664250662436804,1.331928873706481,1.1646124198776655,0.5377241826324632,-0.025636368653046644,-0.14405771821294877,0.7097902097902098,0.735778636833421
R6_high_flow_indicator:linear_regression:raw:river_year_groupkfold,linear_regression,R6_high_flow_indicator,raw,river_year_groupkfold,545,2180,5,False,2.11385181564096,1.5673263010905074,1.2460988460220097,0.6427637857835334,0.007524576182722018,-0.19718189066792746,0.8123716005901185,0.8018189320649226
