candidate_key,model_id,feature_set,target_scale,validation_scheme,river,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,Ob,6,2.19257712302744,1.8351053692081358,2.394546537608433,-0.4734677842419679,-0.09474671913029271,-0.00033479441809891597,0.2571428571428572,0.06340304040913873
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,Yenisey,6,2.936707401429738,2.728513078382823,2.7804028130732643,-4.350855925583089,-2.728513078382823,-2.7804028130732643,0.028571428571428574,0.5299196348010039
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,Yukon,19,2.4553459750366917,2.02289913718583,1.6460750773490362,0.4117241200937245,-0.567465966566269,-1.4352720877024487,0.7017543859649124,0.7633897477375265
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,Kolyma,85,2.223940649587582,1.680425579971485,1.4243411474657863,0.4613897712810907,0.324442111610429,0.30694045838946415,0.7774726392609417,0.6902992278235055
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,Lena,87,3.6156247041365925,2.6081258516872796,1.922717873054479,0.3058464202178014,1.257580126247783,0.6519567736748293,0.5419636618428658,0.6555196296641798
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,Mackenzie,103,1.5864036029746198,1.3366132799940522,1.2245034600277238,-1.0764273217226408,-1.0864604418167083,-1.1684108404661204,0.44366503560281867,0.47821498242897625
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,Ob,87,2.6893748783308635,2.1230003564217212,1.7834336841427936,-0.010602751249398468,1.3073342679333344,1.0974314814950663,0.4437962736148501,0.47779067220321564
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,Yenisey,87,2.2361714898609835,1.875138887499797,1.7128966606825466,0.4103016354917115,-1.0133581023297735,-1.0863219211615958,0.6835528539741338,0.8288417960562787
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,Yukon,96,2.502407866564962,1.983319938147421,1.653821440212885,0.4251069240683376,-0.40765687790191335,-1.174638129609991,0.7858397966468545,0.7477331878015319
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,Kolyma,85,3.5180381396475973,2.7487824693836416,2.2929883781400147,-0.34781193440338654,2.4605823245027882,2.2929883781400147,0.7935412933259245,0.7185232927550949
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,Lena,87,3.7823745547981256,2.8075536498002123,2.126436664903525,0.24034230051637384,1.9931443761148646,1.610273362795077,0.6371383907738157,0.682565330082139
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,Mackenzie,103,2.5917388337515272,2.3603852360056834,2.379880443867807,-4.5420677655032975,-2.331886371777323,-2.379880443867807,0.5436208207551606,0.5595020851163071
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,Ob,87,3.3839242497982602,2.7546390192288484,2.326214944943806,-0.5999965786312689,2.1789958944548404,1.9725216416745717,0.32637548005778266,0.3473488693544895
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,Yenisey,87,3.5369728166073977,2.932651811443882,2.4720987941488897,-0.47530955495875804,-2.8103106849823916,-2.4720987941488897,0.3752996468510179,0.7035598921252976
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,Yukon,96,2.414060520345979,1.9851974766988125,1.7140698163118533,0.46498348021936187,-0.7191373293398664,-1.5174453075333463,0.8350009976369857,0.8010528963888758
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,Kolyma,85,2.22643644144831,1.8381325531248776,1.6943964410224233,0.46018019465428683,0.17415221873833697,0.4704183425159947,0.7814213839338451,0.7215885204666566
