candidate_key,model_id,feature_set,target_scale,validation_scheme,doc_behavior_group,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
R2_river_specific_Q_slope:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R2_river_specific_Q_slope,raw,leave_one_year_out,low,138,1.5574960496099903,1.1955533393672793,0.9377953009847111,-8.242091901425123,-0.8368160371794277,-0.7546171673907509,0.3548804471953186,0.34434505958258455
R2_river_specific_Q_slope:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R2_river_specific_Q_slope,raw,leave_one_year_out,mid,270,1.7437212660921433,1.3313880573553267,1.019369538528883,-0.9067739692988066,-0.4693457125591008,-0.2419801944166382,0.5560988785862373,0.5582687516565508
R2_river_specific_Q_slope:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R2_river_specific_Q_slope,raw,leave_one_year_out,extreme_high,56,5.0487036119373006,4.344952729499156,3.984634985897932,-2.488561310786798,4.33504732585417,3.984634985897932,0.3877520094989611,0.40136153591318346
R2_river_specific_Q_slope:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R2_river_specific_Q_slope,raw,leave_one_year_out,high,81,1.9988240711374603,1.7569945710412365,1.7223204277600654,-5.698028200025968,1.2796386060952276,1.584620347242213,0.21029083972352117,0.21799134411772217
R2_river_specific_Q_slope:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R2_river_specific_Q_slope,raw,leave_one_year_out,low,138,1.9675086782365034,1.6684922111817624,1.6151855769534709,-13.748562344324206,-1.4267342228721056,-1.603155359695764,0.15255754398629703,0.1601896372367525
R2_river_specific_Q_slope:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R2_river_specific_Q_slope,raw,leave_one_year_out,mid,270,1.6535592696257324,1.2679983314987533,1.0268831100501714,-0.7146860656967171,-0.5437878962839708,-0.39133403042387815,0.5343029886898437,0.5244302477471162
R2_river_specific_Q_slope:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R2_river_specific_Q_slope,raw,leave_one_year_out,extreme_high,56,4.525630443992856,3.801454831499544,3.5151465006233167,-1.803139962047434,3.7029470627192755,3.5151465006233167,0.4071396099739092,0.43853632117070174
R2_river_specific_Q_slope:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R2_river_specific_Q_slope,raw,leave_one_year_out,high,81,1.977622739105454,1.7314894344953198,1.5518143198651249,-5.556691106850848,1.026216075648357,1.3861786794695528,0.2229182382812662,0.23012750538957724
R2_river_specific_Q_slope:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R2_river_specific_Q_slope,raw,leave_one_year_out,low,138,1.9039521888730078,1.6097274592514448,1.4837723283859159,-12.811105791385458,-1.1161223773136568,-1.0795443079932465,0.19606737881329275,0.19595753982608285
R2_river_specific_Q_slope:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R2_river_specific_Q_slope,raw,leave_one_year_out,mid,270,1.7632956036780212,1.3363157557435834,1.023673025568299,-0.949823657978824,-0.4971027615102057,-0.29297623559305386,0.5379694815554379,0.5365129231704009
R2_river_specific_Q_slope:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R2_river_specific_Q_slope,raw,leave_one_year_out,extreme_high,56,4.349107341603619,3.6210453723134757,3.263238518709617,-1.5887306269359422,3.460695547738992,3.263238518709617,0.4152092285137465,0.43227179925243
R2_river_specific_Q_slope:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R2_river_specific_Q_slope,raw,leave_one_year_out,high,81,1.9494099273659322,1.6712122364486595,1.655412431408502,-5.370949706815524,0.878247988449986,1.0612132452973189,0.24073451413355462,0.24896323521176078
R2_river_specific_Q_slope:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R2_river_specific_Q_slope,raw,leave_one_year_out,low,138,1.6910196565810425,1.3330526480648583,1.0524989096736053,-9.894660140549876,-0.9799157479211709,-0.803163008666488,0.2626954559723293,0.2753059849288419
R2_river_specific_Q_slope:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R2_river_specific_Q_slope,raw,leave_one_year_out,mid,270,1.7535131893530502,1.325326285762883,1.0311996686415075,-0.9282491998946611,-0.47601584632960203,-0.18612447389835696,0.5494125981663109,0.5481799533966367
R3_river_specific_seasonality:linear_regression:raw:leave_one_year_out,linear_regression,R3_river_specific_seasonality,raw,leave_one_year_out,extreme_high,56,3.753174778739407,2.95335116815683,2.228883734485823,-0.9278985946345011,2.614221990859818,1.9834526618227262,0.4605837361508824,0.4507059461561205
R3_river_specific_seasonality:linear_regression:raw:leave_one_year_out,linear_regression,R3_river_specific_seasonality,raw,leave_one_year_out,high,81,1.6762957584504325,1.277265489753127,1.036780124238204,-3.7108483324378385,0.4324849001228123,0.198315398043734,0.1781740632664454,0.21390731678804503
R3_river_specific_seasonality:linear_regression:raw:leave_one_year_out,linear_regression,R3_river_specific_seasonality,raw,leave_one_year_out,low,138,1.4134458497033187,1.098933444834532,0.8576801861041667,-6.611578400699623,-0.6378252203774644,-0.5604586432324659,0.288583773411284,0.30295139742725674
R3_river_specific_seasonality:linear_regression:raw:leave_one_year_out,linear_regression,R3_river_specific_seasonality,raw,leave_one_year_out,mid,270,1.6201422052535837,1.2548401207163664,1.0092500705367091,-0.646081589080788,-0.3498783645620802,-0.27953214824727013,0.5916100434996917,0.5997266264096573
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_one_year_out,extreme_high,56,3.7565478044559986,2.9570480062293436,2.2340428923620435,-0.9313654055451261,2.619975477448245,1.9860735861112158,0.4605837361508824,0.45060536148106295
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_one_year_out,high,81,1.6751794950961436,1.2758361395992226,1.0331029489735624,-3.704576412374781,0.4350382249495584,0.19738247018421262,0.1767609703213083,0.21411172307921142
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_one_year_out,low,138,1.412693937365228,1.0985834797121181,0.8623716941660733,-6.603482275313597,-0.6404430332263719,-0.5652132813359696,0.2884329277371452,0.302917884885584
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_one_year_out,mid,270,1.6190977793134738,1.2539453897947153,1.0086044760926969,-0.6439599775821625,-0.3504349996217719,-0.28186752739821763,0.5913706924061788,0.5996222854203322
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_one_year_out,extreme_high,56,5.009789063665688,4.297980309395391,3.7350254647183183,-2.434990094622151,4.297330572915625,3.7350254647183183,0.4088834682176876,0.39923512536273775
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_one_year_out,high,81,2.020706611801779,1.534702584767932,1.2057219049294918,-5.845487077093138,1.3655802298799709,1.1047048924196323,0.2246139498154307,0.22018495334088964
