river,year,window_id,start_date,end_date,peak_q_date,peak_Q_m3s,window_length_days,definition_status,fallback_used,snow_data_used,q_data_used,n_days_with_flux,n_days_expected,coverage_rate,window_confidence_tier,caveat_reason
Lena,2007,q75_peak_contiguous,2007-05-27,2007-07-08,2007-06-02,106000.0,43,ok,False,False,True,43,43,1.0,high,ok
Lena,2007,snow_depletion_assisted,2007-05-11,2007-08-25,2007-06-02,106000.0,107,partial_snow_rule_fallback,True,True,True,107,107,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2007,common_overlap_w1_w2,2007-05-27,2007-07-08,2007-06-02,106000.0,43,ok,False,False,True,43,43,1.0,high,ok
Lena,2008,fixed_may_july_reference,2008-05-01,2008-07-31,2008-05-31,121000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2008,discharge_centered_freshet,2008-03-01,2008-07-31,2008-05-31,121000.0,153,ok,False,False,True,153,153,1.0,low,implausible_window_length
Lena,2008,q75_peak_contiguous,2008-05-28,2008-07-06,2008-05-31,121000.0,40,ok,False,False,True,40,40,1.0,high,ok
Lena,2008,snow_depletion_assisted,2008-05-10,2008-07-31,2008-05-31,121000.0,83,partial_snow_rule_fallback,True,True,True,83,83,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2008,common_overlap_w1_w2,2008-05-28,2008-07-06,2008-05-31,121000.0,40,ok,False,False,True,40,40,1.0,high,ok
Lena,2009,fixed_may_july_reference,2009-05-01,2009-07-31,2009-06-05,163000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2009,discharge_centered_freshet,2009-03-01,2009-08-09,2009-06-05,163000.0,162,ok,False,False,True,162,162,1.0,low,implausible_window_length
