model_role,scope,group_type,group_value,feature_set,model_id,target_scale,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags,log_target_status,decision_note
log_target_sensitivity,month,month,3,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,33,1.580760535621249,1.0877757570696822,-0.1665333498154247,-0.255196114722787,-2.7336249142838263,1.8993577871973315,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,4,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,29,1.331961386443264,1.0362176914341754,0.0976439972270973,0.3466630602849232,-2.4078859758967868,1.935356220510988,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,5,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,33,4.454092056336423,3.404176489150715,1.365794044599242,-0.0294152490289865,-4.24323951561508,8.869646888308905,systematic_positive_bias;high_rmse_relative_to_overall,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,6,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,113,2.6341760739757865,1.945677794390561,0.7276778081785722,0.4668386252621843,-3.149795255093207,5.269287574206505,systematic_positive_bias,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,7,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,47,1.9453875487295376,1.4226889338481097,-0.0916074035199183,-0.2428568215759039,-3.1254679221521107,3.125749163422845,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,8,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,67,2.043019325507061,1.5453758063818686,-0.3244859326652358,-0.6452513987814594,-3.2745554128537724,3.0191685872202303,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,9,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,50,1.6208324734964112,1.2284485243594243,0.2275564183283178,0.0809061186268418,-2.269107044281526,3.076486924582271,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,10,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,35,1.3775099063841445,1.0716185863891483,0.1548652322322238,0.2350303779713272,-2.1818700105929763,2.084735778305643,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,11,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,28,2.0027901406202195,1.571836135876097,1.282132087303989,1.2562515350568657,-0.5927465937684887,3.1635690247123227,systematic_positive_bias,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,12,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,26,1.864193984939169,1.357049678272742,0.4771382205424849,0.1484387317953994,-2.4157423217893768,3.644345855561352,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
