river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,may_july_flux_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_fraction_of_annual,annual_confidence_tier,may_july_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Lena,2021,5.660341208702292,3.521222221433922,8.607783738288719,3.5724824183507677,2.4269226030362447,5.150922766895807,0.631142591343854,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2022,6.589599312828729,4.153613796887896,9.94608735948444,3.5623793328478617,2.4102274405679656,5.149902751629616,0.540606365232643,high,high,True,True,False,False,annual:outside_training_year_range
Lena,2023,5.890770476920316,3.768832691085595,8.815225498953117,4.411952466273297,3.069262576691732,6.262054600852696,0.7489601714341207,high,high,True,True,False,False,annual:outside_training_year_range
Lena,2024,5.09672870739132,3.164890588702346,7.758563726943583,3.320898037612733,2.2582785361170945,4.785056847906739,0.6515744172917695,medium,high,True,False,False,False,annual:outside_training_year_range
Lena,2025,8.167522508833459,5.4780416695878,11.873295892773758,6.088796681520108,4.359341984331708,8.471772269986795,,low,low,False,False,False,True,annual:coverage_lt_0_90;may_july:annual_year_not_in_core_cohort;may_july_coverage_lt_0_95;may_july_confidence_tier_low;annual_fraction_not_available
Mackenzie,2000,1.3378204838596184,0.9705516077962184,1.7110113624003094,0.5961266362671316,0.4423210593997509,0.7524122408923574,0.4455953870188199,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Mackenzie,2001,1.5728859893787734,1.1598216159152186,1.9926107917606488,0.7639253451871808,0.5791627088712618,0.9516671742996734,0.4856838641489206,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Mackenzie,2002,1.5880289407851949,1.172834435431643,2.009918222226544,0.7266554977223548,0.5503619478011338,0.90579168122188,0.4575832839438447,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Mackenzie,2003,1.5275953578994892,1.1246719087025845,1.9370157193582729,0.8112333657234286,0.6170569961592889,1.0085407191975462,0.5310525208972291,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2004,1.2236853327335306,0.8833295390563747,1.5695291706874592,0.6192880499505266,0.4632015250494551,0.7778913816037616,0.5060843939079742,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2005,1.6940282972452965,1.2605347664569273,2.134511665535647,0.9005068088822354,0.6923290894198483,1.1120412760864602,0.5315771940448534,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2006,1.6190004974322822,1.1996731620945698,2.0450892483990093,0.8844304710778039,0.6779842144744102,1.0942055565657387,0.5462817784679507,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2007,1.7518931710819536,1.3050050623222902,2.205987097322023,0.9163758668886832,0.7027664280185423,1.1334296368976906,0.5230774809874609,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2008,1.7023368527905034,1.2646251464482867,2.1471064123248604,0.8726532113672915,0.6678250132357726,1.080784148107525,0.5126207600668584,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2009,1.785957901923476,1.333626382582129,2.2455830106558112,0.9596598987145216,0.7391117481170846,1.1837642632449208,0.5373362371425262,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2010,1.471146842490147,1.0771718178190597,1.8714744911491443,0.6936342156290914,0.5218557970795331,0.8681824638225317,0.4714921689632332,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2011,1.4712441840681203,1.0804456513537413,1.8683441216378809,0.7219454312569082,0.546320616484468,0.9004020966323836,0.4907040170997754,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2012,1.598309291519434,1.183764815436375,2.0195380623367063,0.8729590359768218,0.6692379920164486,1.0799649663123785,0.5461765383012587,medium,medium,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2013,1.6330390029291462,1.2123274325981537,2.0605343088939065,0.8444269726096691,0.6477977947550717,1.044226684517802,0.5170892863520339,medium,low,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count;may_july:may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Mackenzie,2014,1.3589460359541097,0.9910540203202548,1.7327701018376649,0.7291034987902518,0.550972096327277,0.9101071691621658,0.5365213036427541,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2015,1.3128870724813828,0.9526247169540716,1.6789584543132785,0.5995579617603417,0.4473926565953024,0.7541768462316479,0.4566713880632286,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2016,1.4238023634115673,1.0413139171264416,1.8124582191181344,0.7263553763960167,0.5485384665117515,0.9070394831746276,0.510151826588909,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2017,1.4307360516027368,1.0483949141091258,1.819242223247013,0.7639929817625354,0.5799212938258634,0.9510327213447596,0.5339859723997983,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2018,1.276179810508374,0.926084099830358,1.6319206161047142,0.6825795004604414,0.5142230885201158,0.8536505641274936,0.5348615413282017,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
