analysis_cohort,river,metric,metric_unit,n_years,year_min,year_max,value_mean,value_median,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_ols_standard_error,slope_theilsen_per_year,theilsen_ci_lower,theilsen_ci_upper,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,trend_strength,detectable_trend,trend_language
core_2003_2024,Yukon,may_july_flux_TgC,TgC_per_year,22,2003,2024,0.849200859083151,0.8237245247704226,0.0028255164784492174,-4.839976570274349,0.7008052878638047,0.007539875612931964,0.007248652650498897,0.005743772323027955,-0.00792279795050268,0.015470711290865542,0.10822510822510822,0.5030535233842987,0.3327265214380279,6.987256950198587,flat_or_uncertain,not_detected,False,no detectable trend
core_2003_2024,Yukon,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.6038565314687365,0.598825008244413,-0.007072068721221305,14.843466901647833,0.0072324143467640154,0.30895689325893017,0.0023650215330311875,-0.005420025306420059,-0.01072557451086132,-0.00244684032295713,-0.3852813852813853,0.01182947469159795,-1.1711504890110551,-24.594160269232162,decreasing,moderate,True,detectable trend
full_2000_2025_sensitivity,Kolyma,may_july_flux_TgC,TgC_per_year,26,2000,2025,0.5560639445873026,0.5120107795509328,0.001583475759208539,-2.630681020819882,0.7483968660343172,0.0043674151971182466,0.004880261671854371,0.0028165662520147705,-0.005246529449428966,0.011265951305499582,0.07692307692307693,0.6002720153905604,0.28476504808880515,7.119126202220127,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Kolyma,may_july_flux_fraction_of_annual,fraction_per_year,24,2000,2025,0.7133647187276694,0.7186388241274322,-0.0030089190635478966,6.769566563883699,0.1827436912517757,0.07921666109337466,0.002187104957343661,-0.0038854516991831296,-0.00775242683430144,-0.00013636905421642186,-0.24637681159420288,0.09679484130838545,-0.4217925255561408,-10.544813138903521,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Lena,may_july_flux_TgC,TgC_per_year,26,2000,2025,4.2567311362863105,4.376342009003578,0.0010408853727972328,2.1619493235318794,0.9550265255497008,0.00013529992137119488,0.01826497704073374,-0.003698272091279653,-0.03562750596137659,0.02536387889785452,-0.027692307692307693,0.8614563711385228,0.024452692441020128,0.6113173110255032,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Lena,may_july_flux_fraction_of_annual,fraction_per_year,25,2000,2024,0.6693634039226819,0.672212324297384,-0.0011775926949027587,3.038679906067032,0.5098618033334866,0.019113993307277026,0.0017589955451096301,-0.0011358705454104002,-0.004131696411923611,0.0024184541291217714,-0.09333333333333331,0.5321916402283853,-0.17592725984146906,-4.2222542361952575,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Mackenzie,may_july_flux_TgC,TgC_per_year,26,2000,2025,0.7466720165046292,0.7465144219887163,-0.006524631659017652,13.877493230277652,0.21317300619420004,0.06379800133586418,0.005101896259255778,-0.005888629855256233,-0.016820914218113547,0.006858407805932572,-0.12000000000000001,0.4060348292913185,-0.8738283362434275,-21.845708406085684,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Mackenzie,may_july_flux_fraction_of_annual,fraction_per_year,25,2000,2024,0.5060462202166371,0.5126207600668584,0.0005421402822417752,-0.5847400276538146,0.6401154975901151,0.009665577094011108,0.0011442602262092154,0.0004995886814302382,-0.0014794702973518023,0.0027699704067155697,0.06666666666666665,0.6604714750997261,0.10713256232003596,2.571181495680863,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Ob,may_july_flux_TgC,TgC_per_year,26,2000,2025,2.2734055073402675,2.314901434865325,0.005364417953206083,-8.522485623486975,0.5319873244170352,0.01647947857527827,0.008459349462712942,0.005621847316737549,-0.009399314456753202,0.02115578504860869,0.10153846153846155,0.4844245357791813,0.23596397281020462,5.899099320255115,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Ob,may_july_flux_fraction_of_annual,fraction_per_year,25,2001,2025,0.5397700049246239,0.5411821314614375,0.0005713429742768118,-0.6103434022945982,0.7074805140001109,0.006236922137816684,0.0015037970918409336,7.80499274606394e-05,-0.002500934962720978,0.0029223128563933276,0.0,1.0,0.10584933750748095,2.540384100179543,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Yenisey,may_july_flux_TgC,TgC_per_year,26,2000,2025,3.0513354710125262,3.178209781682358,-0.043249169403768724,90.09028889609708,0.015223044378846862,0.22158119078209892,0.016546737040025055,-0.027425175041469966,-0.0596147581971537,-0.009210884498783998,-0.3230769230769231,0.020790708274678393,-1.4173849389761568,-35.43462347440392,decreasing,moderate,True,detectable trend
full_2000_2025_sensitivity,Yenisey,may_july_flux_fraction_of_annual,fraction_per_year,26,2000,2025,0.7719918272574773,0.7891088374169575,-0.004504046612127263,9.836385634163594,0.0011570623812953444,0.36160986743935913,0.0012215751850119625,-0.003756370281071786,-0.00625097031046915,-0.0013185863915449797,-0.37230769230769234,0.007246760676529504,-0.5834319034345241,-14.585797585863103,decreasing,weak,True,detectable trend
