model_id,feature_set,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
ridge_alpha_1,F2_q_season,leave_one_river_out,2010,30,6,,3.8612186058221787,2.9050202525738604,1.6851652626552975,0.051305437185541036,1.4500753861498141,0.6964889234089666,0.4213690134904625,0.43034761859630233
ridge_alpha_1,F2_q_season,leave_one_river_out,2011,30,6,,4.412901916578382,3.200027031211232,2.4381490335859084,0.09778109675699298,2.0447581543800544,0.9067876499474332,0.6536793702358169,0.5567183380400524
ridge_alpha_1,F2_q_season,leave_one_river_out,2012,23,6,,3.1943703212792616,2.6301509910229783,1.8244582184732305,0.18573138595696748,0.1232031086179231,-1.0092968320159645,0.44675069315426064,0.49969914083734995
ridge_alpha_1,F2_q_season,leave_one_river_out,2013,33,6,,3.6844462130289246,3.018850826311546,2.343439868257452,-0.2711989316346932,0.23520477474281656,0.061147120763164864,0.2561016525617005,0.3605302409123751
ridge_alpha_1,F2_q_season,leave_one_river_out,2014,35,6,,4.185242057750566,3.1374364551496345,2.176752801611877,0.11207028587648227,0.7848275958632773,-0.5067181680337409,0.5156634793183292,0.45606902932741716
ridge_alpha_1,F2_q_season,leave_one_river_out,2015,36,6,,3.559872049194259,2.974905501184691,2.4724402936563057,-0.22471022050104206,-0.007152769847234798,-0.9621503178558748,0.4115375256164991,0.3918653013410083
ridge_alpha_1,F2_q_season,leave_one_river_out,2016,37,6,,3.0463068442076024,2.4141391785338544,1.8274949224871007,-0.8240253378518623,-0.29651754869124775,-0.7992520282843318,0.32815468588024477,0.4272151637311752
ridge_alpha_1,F2_q_season,leave_one_river_out,2017,35,6,,3.125957818555754,2.561951459323537,2.270439736541795,-0.4335358505549085,0.08828673755910368,-0.6561257346095823,0.3846370858549249,0.39606803332517854
ridge_alpha_1,F2_q_season,leave_one_river_out,2018,35,6,,3.2822461915040275,2.813710709840452,2.4591718360974655,-0.548744135248288,0.0622253012717094,-0.8377788171081217,0.1918442005425996,0.2893591619915947
ridge_alpha_1,F2_q_season,leave_one_river_out,2019,26,6,,3.6315732827945775,2.925322169522152,2.2993780763721055,0.0495782823475206,0.06251851417056932,-0.6810291632226906,0.3830226948544356,0.40097166259297135
ridge_alpha_1,F2_q_season,leave_one_river_out,2020,31,6,,2.9452414311251234,2.4410553678494,1.8325246096913013,0.0013794919692754481,0.2452435293989375,0.35192486140841783,0.45806451612903226,0.48010612577482453
ridge_alpha_1,F2_q_season,leave_one_river_out,2021,37,6,,3.0065051228975497,2.556288384978121,2.166599559500709,-0.7477354368707432,-0.5053045899550697,-0.9605597432503132,0.19701280227596016,0.28232114988144597
ridge_alpha_1,F2_q_season,leave_one_river_out,2022,10,2,,2.485434782650173,1.9072672434386875,1.6897841149084518,0.3556302637071822,-0.7306017901695611,-1.4231336866248483,0.6727272727272726,0.6709356486099398
ridge_alpha_1,F2_q_season,leave_one_river_out,2023,12,2,,1.9190694775589927,1.543849190596325,1.3751724802935292,0.4416220689972926,-0.5814425140902195,-0.8364377638045108,0.6363636363636365,0.7458785899165908
ridge_alpha_1,F2_q_season,leave_one_river_out,2024,6,2,,2.7865571982445396,2.6968286993018418,2.696555603475496,-9.128177267433532,-2.6968286993018418,-2.696555603475496,0.6571428571428573,0.6279342636825347
ridge_alpha_1,F2_q_season,leave_one_year_out,2003,5,1,,2.1125071575226726,1.9805695317425474,2.228659025323209,0.49125781001088453,-0.4586226172315072,-0.7502387996599746,0.7,0.7255703674922469
ridge_alpha_1,F2_q_season,leave_one_year_out,2004,42,1,,2.4591056550650685,2.117845808888054,1.9600148354241345,0.4744013116944157,-0.6276968450490031,-0.9142385932140598,0.7401824006051834,0.7417771275110276
ridge_alpha_1,F2_q_season,leave_one_year_out,2005,42,1,,2.287968030380809,1.8560757602043034,1.516345888087144,0.4313383877777285,0.018688861521292927,-0.5650268683360271,0.5748561540705888,0.6567932305243164
ridge_alpha_1,F2_q_season,leave_one_year_out,2006,11,1,,3.0008903280403403,2.5899252644655304,2.1758978096216577,0.24016674750564604,1.3428463699375772,2.0689365183985338,0.5,0.642113007550511
ridge_alpha_1,F2_q_season,leave_one_year_out,2007,1,1,,0.07242801984546787,0.07242801984546787,0.07242801984546787,,0.07242801984546787,0.07242801984546787,,
ridge_alpha_1,F2_q_season,leave_one_year_out,2009,28,1,,2.9958745197752643,2.5552819769998547,1.9744399928126284,0.37959295389324565,0.10686429163033866,-1.129015682052589,0.5860936436410805,0.6425303131854211
ridge_alpha_1,F2_q_season,leave_one_year_out,2010,30,1,,3.540978643136648,2.6601158642950606,1.5622959040006044,0.2021444950964334,1.532278789950208,0.8502010294283835,0.6032276949599332,0.6203037400818316
ridge_alpha_1,F2_q_season,leave_one_year_out,2011,30,1,,4.112010209383276,2.9436079555681993,1.9351058628142472,0.21662133183300658,2.1027708101182383,0.9353531039110949,0.7730159310145628,0.7512314950049632
ridge_alpha_1,F2_q_season,leave_one_year_out,2012,23,1,,2.6220690083379634,2.132419038015701,1.6835651755743761,0.45136260508219406,-0.1891005838801939,-0.8638695015432258,0.5228564528287697,0.6792704540462505
ridge_alpha_1,F2_q_season,leave_one_year_out,2013,33,1,,2.9121127821408095,2.3359888645342877,2.07877769538962,0.20588123485879917,-0.06143528084477865,-0.483724079843209,0.38732867427249346,0.5151802163078756
ridge_alpha_1,F2_q_season,leave_one_year_out,2014,35,1,,3.483331843303622,2.526140780706031,1.840787569130761,0.3849263419682337,0.5316618292725924,-0.5056024782788837,0.6481184909942795,0.64258785491383
ridge_alpha_1,F2_q_season,leave_one_year_out,2015,36,1,,2.78706140507497,2.3083738873116304,2.0829390139202113,0.24931517026736238,-0.3943589019554299,-1.179981346923853,0.5880763077254542,0.5434581305319618
ridge_alpha_1,F2_q_season,leave_one_year_out,2016,37,1,,2.2656970105451797,1.886177789677776,1.4437345863005655,-0.008990872878215761,-0.6587150192643649,-0.8220870171996291,0.49762813948446233,0.5666117350024393
ridge_alpha_1,F2_q_season,leave_one_year_out,2017,35,1,,2.440679440110973,2.0166405086113737,1.7289282759477995,0.12609581893345456,-0.14704891685026938,-0.46332654659249073,0.46691914467301565,0.5166526190964997
ridge_alpha_1,F2_q_season,leave_one_year_out,2018,35,1,,2.626095202906295,2.228526599194603,2.0559805926238166,0.008578571691983727,-0.24730555824240166,-0.5973735293326516,0.3360426536896668,0.41299168798776464
ridge_alpha_1,F2_q_season,leave_one_year_out,2019,26,1,,2.9729696012307505,2.3761871948632245,1.8689704317139122,0.36304659444208753,-0.17108937103644495,-1.0387532566525466,0.5842893119897422,0.6068428621283883
ridge_alpha_1,F2_q_season,leave_one_year_out,2020,31,1,,2.367646427386736,1.9033811495913608,1.4657567632564064,0.35465437024255664,-0.053302023724804436,-0.4649953801902873,0.6016129032258066,0.6057858123928784
ridge_alpha_1,F2_q_season,leave_one_year_out,2021,37,1,,2.46635910697856,2.1017596737062987,1.9035165642052685,-0.17615461693128687,-0.721521682623302,-1.2455919395859025,0.3376007586533902,0.3934633741535994
ridge_alpha_1,F2_q_season,leave_one_year_out,2022,10,1,,2.319172046267507,1.6571025726766613,1.386941948455987,0.43895676930241,-0.4625200756734009,-1.0303532041931165,0.7212121212121211,0.7286527300681784
ridge_alpha_1,F2_q_season,leave_one_year_out,2023,12,1,,1.6979155396634655,1.357093374460609,1.2482494726812374,0.5629018029429651,-0.326235228212169,-0.513607995072392,0.6363636363636365,0.8243427740205791
ridge_alpha_1,F2_q_season,leave_one_year_out,2024,6,1,,2.410680820366232,2.335929403997547,2.380501457857974,-6.580097556834596,-2.335929403997547,-2.380501457857974,0.6571428571428573,0.7430580909111579
