model_id,feature_set,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.2407770032345224,1.6649203993655768,1.2283399864353841,0.6021746886100945,0.00998950652544637,-0.21956390319593044,0.8030056780632441,0.776022124863354
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,river_year_groupkfold,511,5,2044,2.2965288610998953,1.700370655363723,1.2594016660114136,0.5821321589619306,-0.03710645092237681,-0.23678214823194388,0.8000912601818615,0.7650657898120123
ridge_alpha_10,F1_season_only,leave_one_river_out,547,6,2735,3.5653255464500018,2.8218009686739474,2.4839240501108586,-0.01744887829446795,-0.02460448604202062,-0.7404662435548399,0.16813331452104824,0.17130402028293387
ridge_alpha_10,F1_season_only,leave_one_year_out,547,21,10940,3.320544726160898,2.589862113591153,2.2900308938132383,0.11746307731171235,0.003376728363389362,-0.6406565050085979,0.3543180779708842,0.34304201034774495
ridge_alpha_10,F1_season_only,river_year_groupkfold,547,5,2188,3.3301062715183933,2.5948981229751427,2.2058358747272946,0.11237320997352285,-0.0033855048513648594,-0.6269301526976632,0.34806946713492204,0.33647579440220393
ridge_alpha_10,F2_q_season,leave_one_river_out,545,6,2725,3.308805184874865,2.64230190679763,2.194290846747961,0.12471639260616785,0.1842452913548055,-0.4158526201654915,0.47071733064103677,0.4627540269144444
ridge_alpha_10,F2_q_season,leave_one_year_out,545,21,10900,2.797105745430135,2.2121445244859155,1.833205548915375,0.3745045277451694,0.0064956829270372855,-0.5802127035600044,0.5986766546304461,0.6119741905334379
ridge_alpha_10,F2_q_season,river_year_groupkfold,545,5,2180,2.8164193002153457,2.214602485329506,1.8616015177867888,0.3658368195865087,0.030354573165823857,-0.5524766348099002,0.5967864726305933,0.6050932651206269
ridge_alpha_10,F3_q_season_river_fixed,leave_one_river_out,545,6,2725,3.2148169840139262,2.580544250954912,2.160900971847757,0.1737358540956333,0.033774663521361256,-0.610648458675028,0.4925923860938184,0.4969479681043361
ridge_alpha_10,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2681901201557233,1.7156729546633707,1.3185169894015294,0.5886937503597196,0.0035882839547116837,-0.26428166870963654,0.7917550355334422,0.7679585521122898
