model_id,feature_set,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,rmse,mae,bias_mean
linear_regression,F1_season_only,leave_one_river_out,loro_Kolyma,Kolyma,,Kolyma,460,87,Kolyma,3.128869097230075,2.6497135407039574,-1.6330232265845068
linear_regression,F1_season_only,leave_one_river_out,loro_Lena,Lena,,Lena,460,87,Lena,5.0935857930783115,3.5204775367659202,3.208101694374735
linear_regression,F1_season_only,leave_one_river_out,loro_Mackenzie,Mackenzie,,Mackenzie,444,103,Mackenzie,2.852393334312357,2.452297224680621,-2.3563496611548755
linear_regression,F1_season_only,leave_one_river_out,loro_Ob,Ob,,Ob,460,87,Ob,4.1467878906382705,3.6132318995456876,3.307689462957015
linear_regression,F1_season_only,leave_one_river_out,loro_Yenisey,Yenisey,,Yenisey,460,87,Yenisey,2.44363594739415,2.055259023472581,-0.8424812370360212
linear_regression,F1_season_only,leave_one_river_out,loro_Yukon,Yukon,,Yukon,451,96,Yukon,3.2216243585844757,2.718773040762722,-1.274103610311671
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2003,2003,2003,,542,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.9492230035720923,2.7706307669807564,-1.0667333746257548
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2004,2004,2004,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.249831047768042,2.8013685830977746,-0.4129459162915983
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2005,2005,2005,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.9055241480762213,2.4177103859071645,0.11371057594509865
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2006,2006,2006,,536,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.5536110490514634,3.003192347096928,1.670681856654015
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2007,2007,2007,,546,1,Mackenzie,0.44803306550536526,0.44803306550536526,-0.44803306550536526
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2009,2009,2009,,518,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.8024342606315455,2.984427122779562,0.8343858991316049
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2010,2010,2010,,516,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.3238910171821505,3.378258310179206,2.071738654514613
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2011,2011,2011,,517,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.03191519285991,3.5089082285592528,2.579069219036518
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2012,2012,2012,,524,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2181368729097914,2.4327630176942416,-0.26780079409131136
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2013,2013,2013,,514,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2250040013738346,2.640750201702212,-0.2587568347055574
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2014,2014,2014,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.123821496680313,2.832400543731586,0.3901028998796163
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2015,2015,2015,,511,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.373446694239794,2.836417301843636,-0.8850773182769486
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2016,2016,2016,,510,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.274471794619332,1.9033999487740143,-1.0226467677242475
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2017,2017,2017,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6178171191374857,2.188511699118993,-0.2881700390209835
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2018,2018,2018,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.874287176736387,2.411320537700817,-0.5383263026546886
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2019,2019,2019,,521,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.4432133544857835,2.6807728937789648,-0.3842685312657356
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2020,2020,2020,,516,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.68109365456525,2.1236305349694033,-0.0061124383555606916
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2021,2021,2021,,510,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.4618546244912323,2.030570699406595,-0.5749595737228732
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2022,2022,2022,,537,10,Mackenzie;Yukon,2.9942259760919097,2.339124422939876,-0.6877924920824509
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2023,2023,2023,,535,12,Mackenzie;Yukon,2.4201606136019365,1.9935604638592093,-0.5266879843549658
ridge_alpha_0.1,F1_season_only,leave_one_year_out,loyo_2024,2024,2024,,541,6,Mackenzie;Yukon,3.4187825962141583,3.2669751394775326,-3.2669751394775326
ridge_alpha_0.1,F1_season_only,river_year_groupkfold,river_year_gkf_1,Kolyma_2021;Lena_2003;Lena_2004;Lena_2010;Lena_2014;Lena_2016;Mackenzie_2007;Mackenzie_2014;Mackenzie_2019;Ob_2004;Ob_2009;Ob_2011;Ob_2013;Ob_2015;Yenisey_2006;Yenisey_2009;Yenisey_2014;Yenisey_2016;Yukon_2012;Yukon_2014;Yukon_2016;Yukon_2023,,,437,110,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.610608023503401,2.632368359469853,1.0267559808908995
ridge_alpha_0.1,F1_season_only,river_year_groupkfold,river_year_gkf_2,Kolyma_2003;Kolyma_2004;Kolyma_2006;Kolyma_2009;Kolyma_2018;Lena_2006;Lena_2009;Lena_2015;Mackenzie_2010;Mackenzie_2012;Mackenzie_2013;Mackenzie_2016;Mackenzie_2024;Ob_2005;Ob_2018;Yenisey_2004;Yenisey_2013;Yukon_2009;Yukon_2010;Yukon_2019;Yukon_2020;Yukon_2022,,,437,110,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2316165962928416,2.685817189434762,-0.3767807689580431
ridge_alpha_0.1,F1_season_only,river_year_groupkfold,river_year_gkf_3,Kolyma_2010;Kolyma_2011;Kolyma_2012;Kolyma_2014;Kolyma_2019;Lena_2005;Lena_2020;Lena_2021;Mackenzie_2005;Mackenzie_2020;Mackenzie_2023;Ob_2003;Ob_2017;Yenisey_2018;Yenisey_2019;Yenisey_2020;Yukon_2005;Yukon_2006;Yukon_2013;Yukon_2018;Yukon_2021,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.018164212655579,2.4222871500207006,-0.5427919560519128
ridge_alpha_0.1,F1_season_only,river_year_groupkfold,river_year_gkf_4,Kolyma_2005;Kolyma_2013;Kolyma_2015;Kolyma_2016;Lena_2017;Lena_2019;Mackenzie_2003;Mackenzie_2004;Mackenzie_2011;Mackenzie_2015;Mackenzie_2018;Ob_2006;Ob_2010;Ob_2012;Ob_2019;Ob_2021;Yenisey_2010;Yenisey_2017;Yenisey_2021;Yukon_2004;Yukon_2017,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.1372891356744534,2.6257881774699965,-0.7826482366049619
ridge_alpha_0.1,F1_season_only,river_year_groupkfold,river_year_gkf_5,Kolyma_2017;Kolyma_2020;Lena_2011;Lena_2012;Lena_2013;Lena_2018;Mackenzie_2006;Mackenzie_2009;Mackenzie_2017;Mackenzie_2021;Mackenzie_2022;Ob_2014;Ob_2016;Ob_2020;Yenisey_2005;Yenisey_2011;Yenisey_2012;Yenisey_2015;Yukon_2003;Yukon_2011;Yukon_2015;Yukon_2024,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.6080116634335377,2.606497219315554,0.6521023933776172
ridge_alpha_0.1,F1_season_only,leave_one_river_out,loro_Kolyma,Kolyma,,Kolyma,460,87,Kolyma,3.128873181712062,2.649764840926861,-1.6330077045234015
ridge_alpha_0.1,F1_season_only,leave_one_river_out,loro_Lena,Lena,,Lena,460,87,Lena,5.093603144410761,3.520427586336961,3.2080691595361457
ridge_alpha_0.1,F1_season_only,leave_one_river_out,loro_Mackenzie,Mackenzie,,Mackenzie,444,103,Mackenzie,2.8522342792217112,2.452184277062879,-2.3563456442972535
ridge_alpha_0.1,F1_season_only,leave_one_river_out,loro_Ob,Ob,,Ob,460,87,Ob,4.146749431669375,3.6132089745873524,3.307678474008062
ridge_alpha_0.1,F1_season_only,leave_one_river_out,loro_Yenisey,Yenisey,,Yenisey,460,87,Yenisey,2.443717588345433,2.0553692468039837,-0.8424889628907011
ridge_alpha_0.1,F1_season_only,leave_one_river_out,loro_Yukon,Yukon,,Yukon,451,96,Yukon,3.22163536942808,2.718801541852518,-1.2740697847642724
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2003,2003,2003,,542,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.9487877463711754,2.7704755641224215,-1.0646954762246121
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2004,2004,2004,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2497817432812695,2.8012828165145107,-0.41162136506481417
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2005,2005,2005,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.9056035642029556,2.417723118387655,0.11496810188575798
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2006,2006,2006,,536,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.5534933912119966,3.0034812182518404,1.6703848717043053
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2007,2007,2007,,546,1,Mackenzie,0.4491147894127199,0.4491147894127199,-0.4491147894127199
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2009,2009,2009,,518,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.8027888995254093,2.9845488213479205,0.8356992267444197
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2010,2010,2010,,516,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.324295877781461,3.3786202372319822,2.072686306482176
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2011,2011,2011,,517,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.032674945843834,3.5095787569396615,2.5799900739311448
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2012,2012,2012,,524,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2182420622766172,2.433257721424079,-0.2682674136061572
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2013,2013,2013,,514,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2247039959718924,2.640399405486119,-0.259347047477957
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2014,2014,2014,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.124031856002135,2.8328661108355138,0.38941276724231333
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2015,2015,2015,,511,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3731676985031913,2.836895341489056,-0.8858597840940102
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2016,2016,2016,,510,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.274573486392844,1.9037397947488208,-1.0234407968790555
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2017,2017,2017,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.617345889471549,2.1880937793622,-0.2889107588329257
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2018,2018,2018,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.8736155980873375,2.410857929482279,-0.5391365530963699
ridge_alpha_1,F1_season_only,leave_one_year_out,loyo_2019,2019,2019,,521,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.4434092619962144,2.6810252311992926,-0.3841990805782819
