river,year,n_days_expected,date_min,date_max,n_days_with_flux,annual_flux_kgC,annual_flux_MgC,annual_flux_TgC,annual_flux_80_lower_TgC,annual_flux_80_upper_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,annual_flux_95_lower_TgC,annual_flux_95_upper_TgC,n_outside_training_logQ_days,n_outside_training_doy_days,n_outside_training_year_days,n_point_prediction_clipped_days,n_interval_lower_clipped_days,n_high_confidence_days,n_low_confidence_days,n_medium_confidence_days,flux_from_high_confidence_days_TgC,flux_from_low_confidence_days_TgC,flux_from_medium_confidence_days_TgC,coverage_rate,fraction_flux_from_low_confidence_days,annual_confidence_tier,notes
Ob,2019,365,2019-01-01,2019-12-31,365.0,4425031253.6656475,4425031.2536656475,4.425031253665647,3.349998847163311,5.383482361062465,3.1255743454511484,6.196920068436254,3.0620254807238747,6.586588848725608,0.0,19.0,0.0,0.0,0.0,346.0,19.0,0.0,4.305698105010949,0.1193331486546987,0.0,1.0,0.0269677527262309,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2020,366,2020-01-01,2020-12-31,366.0,4689206590.767031,4689206.590767031,4.689206590767031,3.554539135184837,5.700825657087261,3.3176651797693473,6.559387025207679,3.25059108208718,6.970671820695168,19.0,20.0,0.0,0.0,0.0,327.0,39.0,0.0,3.9420352356657395,0.7471713551012913,0.0,1.0,0.15933854494115468,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2021,365,2021-01-01,2021-12-31,365.0,3763209051.739778,3763209.051739778,3.763209051739778,2.81695856334405,4.60684392543481,2.619418663087434,5.322837065014902,2.563482540677113,5.665826049747956,0.0,19.0,0.0,0.0,0.0,346.0,19.0,0.0,3.6965151709370736,0.06669388080270411,0.0,1.0,0.017722608519946746,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2022,365,2022-01-01,2022-12-31,365.0,3695153207.4256406,3695153.207425641,3.6951532074256406,2.775570087897928,4.515012640428549,2.5835972858366585,5.210827557229044,2.529237563362354,5.544150376516784,2.0,19.0,365.0,0.0,0.0,0.0,21.0,344.0,0.0,0.12102951829944977,3.574123689126191,1.0,0.03275358598291227,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2023,365,2023-01-01,2023-12-31,365.0,3188036330.7021685,3188036.3307021684,3.188036330702168,2.3631377088886962,3.9234792743614793,2.1909313074408945,4.5476498944145884,2.1421687114351666,4.846652266696773,0.0,19.0,365.0,0.0,0.0,0.0,19.0,346.0,0.0,0.062455923500709394,3.125580407201459,1.0,0.019590718869553603,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2024,366,2024-01-01,2024-12-31,366.0,5013147175.459088,5013147.175459088,5.013147175459088,3.8471241408215313,6.052721482278959,3.603704373239977,6.935008470376877,3.5347767393855216,7.357658774635886,19.0,20.0,366.0,0.0,0.0,0.0,39.0,327.0,0.0,0.7336850808073397,4.279462094651748,1.0,0.14635219257055848,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2025,344,2025-01-01,2025-12-10,344.0,4815778342.50235,4815778.34250235,4.81577834250235,3.6881812833308594,5.821093757668826,3.4527833487141675,6.674305215394209,3.386127206493021,7.083027192562124,38.0,2.0,344.0,0.0,0.0,0.0,40.0,304.0,0.0,1.385857830148543,3.4299205123538075,1.0,0.2877744222397974,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2000,208,2000-03-03,2000-11-01,208.0,3987191525.016431,3987191.525016431,3.987191525016431,3.25124343497197,4.811709877116428,3.134004030068409,5.1177732566440435,2.5471267333650496,5.298685188625661,11.0,0.0,208.0,0.0,0.0,0.0,11.0,197.0,0.0,1.275126754561153,2.712064770455278,1.0,0.3198057446101485,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2001,211,2001-02-07,2001-10-24,211.0,4667422997.01097,4667422.99701097,4.66742299701097,3.856151360837797,5.576329972396369,3.7269126208686036,5.9137186307011405,3.0799690236637254,6.11314671679497,14.0,0.0,211.0,0.0,0.0,0.0,14.0,197.0,0.0,2.0279479769779694,2.639475020033,1.0,0.4344898626665448,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2002,195,2002-02-08,2002-10-28,195.0,4785513950.728447,4785513.950728446,4.785513950728447,3.9687397242647546,5.700585744991692,3.8386244001725562,6.040262800268008,3.187292796044023,6.241043541873588,17.0,0.0,195.0,0.0,0.0,0.0,17.0,178.0,0.0,2.208783627604475,2.5767303231239715,1.0,0.4615561986332222,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
