prediction_id,river,date,year,month,doy,Q_m3s,DOC_predicted_mgC_L,prediction_status,missing_predictor_reason,flux_status,missing_flux_reason,model_spec_id,model_fit_id,freeze_id
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-02,Kolyma,2009-02-02,2009,2,33,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-03,Kolyma,2009-02-03,2009,2,34,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-04,Kolyma,2009-02-04,2009,2,35,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-05,Kolyma,2009-02-05,2009,2,36,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-06,Kolyma,2009-02-06,2009,2,37,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-07,Kolyma,2009-02-07,2009,2,38,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-08,Kolyma,2009-02-08,2009,2,39,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-09,Kolyma,2009-02-09,2009,2,40,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-10,Kolyma,2009-02-10,2009,2,41,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-11,Kolyma,2009-02-11,2009,2,42,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
