river,year,season_window,seasonal_flux_TgC,seasonal_fraction_of_annual,seasonal_Q_volume_km3,seasonal_flow_weighted_DOC,n_days_with_flux,fraction_flux_from_low_confidence_days,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Lena,2000,may_july,4.799361529989175,0.6791788063411159,376.62623999999994,12.743035456024465,92,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2000,late_summer,1.3556081592953497,0.191838086325322,162.00863999999996,8.36750533363747,61,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2000,fall_winter,0.6063808908075188,0.08581163286684969,75.54902399999999,8.026323289199917,92,0.13255703915216654,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,winter,0.2280464678858856,0.041813746221404866,25.259904,9.028002160494754,90,0.03394313275219286,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,spring_transition,0.0321515712157137,0.005895191676926145,5.478624000000001,5.868548601932714,30,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,may_july,4.1741583771039314,0.7653580460431132,321.192864,12.995800482989361,92,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,late_summer,0.7954395078412372,0.14584880890150917,112.2768,7.0846293075794815,61,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,fall_winter,0.22406766134864148,0.04108420715704346,39.456288,5.67888346082242,92,0.12167356598274504,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2002,winter,0.1766942490059682,0.030575027673997387,21.196512000000002,8.336005895968762,90,0.01754885904865452,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2002,spring_transition,0.040904881917856295,0.007078147159151783,6.391872000000002,6.399515183948861,30,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
