river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language
Ob,core_2003_2024,flux_75pct_doy,day/year,22,2003,2024,236.5909090909091,237.5,0.0220214568040655,192.2507058159232,0.9472426458079829,0.000224436485138719,0.11764705882352941,0.039302809006636116,0.7993519367759108,0.009307820359067069,0.19546422754040843,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,active_flux_season_length,days/year,22,2003,2024,162.13636363636363,163.5,0.2377188029361942,-316.5104460756634,0.5900853037630054,0.014767143441193245,0.4,0.14005214630772406,0.36592499563130476,0.14661658717679488,3.078948330712692,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,fraction_flux_after_july,fraction/year,22,2003,2024,0.3710832909119976,0.35473960779199304,0.0006940459951536068,-1.0263783203297896,0.7283021352510828,0.00616731970039921,0.0011513759214755355,0.07359307359307359,0.6555978590524786,0.18703240273844607,3.9276804575073676,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,flux_centroid_doy,day/year,14,2007,2024,180.0128860046318,179.8307620402447,0.2740759214713567,-372.32840316628653,0.2798681296886491,0.09643676668951542,0.44457284722189644,0.23076923076923078,0.2791797743335442,0.15225350115452546,2.588309519626933,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,flux_25pct_doy,day/year,14,2007,2024,152.42857142857142,153.5,-0.0777858176555716,309.18921852387837,0.7666313695054531,0.007622584683659017,0.0,0.045215784420335234,0.8251990670918412,-0.05103099565032814,-0.8675269260555785,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,flux_50pct_doy,day/year,14,2007,2024,164.5,166.0,0.022793053545586108,118.56548480463097,0.9251315289720345,0.0007668690912533642,0.125,0.21603466407671892,0.2929027485778407,0.013855959602180005,0.23555131323706008,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,flux_75pct_doy,day/year,14,2007,2024,198.92857142857142,198.0,1.1986251808972503,-2216.643632416787,0.0912552937725181,0.2192917814458729,1.5,0.33524261720075565,0.09864761042929915,0.6025404859088512,10.24318826045047,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,active_flux_season_length,days/year,14,2007,2024,110.85714285714286,112.0,0.713096960926194,-1326.236975397974,0.09608594949734807,0.2136689130412782,0.8,0.3069966278984953,0.1354101196245251,0.6432575678457935,10.93537865337849,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,fraction_flux_after_july,fraction/year,14,2007,2024,0.2098245538620024,0.20139769081716052,0.0033982033257216296,-6.638526062703002,0.12403002585618772,0.18565056334053953,0.004143362879502954,0.2527472527472528,0.23311184869840623,1.6195451214716095,27.53226706501736,flat_or_uncertain,False,no detectable trend
Yukon,core_2003_2024,flux_centroid_doy,day/year,22,2003,2024,196.2679814233106,195.4950040763336,0.7584966413219318,-1330.965005878399,0.00930549430943495,0.2928151086051775,0.6660346680537259,0.35064935064935066,0.022775270000007175,0.3864596944552086,8.115653583559382,increasing,True,detectable increasing trend
Yukon,core_2003_2024,flux_25pct_doy,day/year,22,2003,2024,153.36363636363637,153.0,0.33314511575381145,-517.424054206663,0.06818422379439311,0.15672019434924875,0.25,0.2089632001288379,0.18238210585593073,0.21722562378731036,4.5617380995335175,flat_or_uncertain,False,no detectable trend
Yukon,core_2003_2024,flux_50pct_doy,day/year,22,2003,2024,185.0,185.0,0.6617730095990966,-1147.479954827781,0.07461909003580684,0.15030968357560875,0.5789473684210527,0.19738550848793068,0.20327244639516773,0.357715140323836,7.512017946800556,flat_or_uncertain,False,no detectable trend
Yukon,core_2003_2024,flux_75pct_doy,day/year,22,2003,2024,239.4090909090909,243.0,1.762281197063806,-3308.944099378882,0.004051168402133541,0.34499185019243733,1.3,0.3956559135896355,0.010227112195655096,0.7360961901538586,15.458019993231028,increasing,True,detectable increasing trend
Yukon,core_2003_2024,active_flux_season_length,days/year,22,2003,2024,142.54545454545453,145.0,1.2501411631846415,-2374.613777526821,0.004634715547543119,0.3367615464140205,1.2307692307692308,0.42015643892317217,0.006665288227267816,0.8770122956014705,18.417258207630884,increasing,True,detectable increasing trend
Yukon,core_2003_2024,fraction_flux_after_july,fraction/year,22,2003,2024,0.3571217233487805,0.3595054000713952,0.005648990388243347,-11.017120423379197,0.026771445220253962,0.2222471312982365,0.0034670060856754983,0.29004329004329005,0.06215800261753044,1.5818109117731542,33.21802914723624,increasing,True,detectable increasing trend
