river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,season_window
Mackenzie,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,4.768353939029908,4.782488751982366,-0.008118427183146372,21.11480707229513,0.4722738547498736,0.026137078817224137,-0.013078748708624133,-0.2121212121212121,0.17796763426213033,-0.17025638798947915,-3.5753841477790615,flat_or_uncertain,False,no detectable trend,late_summer
Mackenzie,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.7754859097615462,0.7876131737429772,-0.006846181091881085,14.56027153826411,0.2760041943894604,0.05901353890289108,-0.010948862665024423,-0.16017316017316016,0.31397950542939346,-0.8828246916808861,-18.539318525298608,flat_or_uncertain,False,no detectable trend,may_july
Mackenzie,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.5119224077411033,0.5200833836697448,-0.0010425263684244411,2.6110492505637155,0.4427707794302521,0.02974654151907932,-0.001117800551650258,-0.1341991341991342,0.4020304086977944,-0.20364929384995437,-4.276635170849042,flat_or_uncertain,False,no detectable trend,may_july
Mackenzie,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,137.21977701818182,139.766256,-1.0097556291360812,2170.3627362836814,0.24865242428173617,0.06594211526572127,-1.4615423999999961,-0.16883116883116883,0.2876167582552455,-0.7358674172763647,-15.453215762803657,flat_or_uncertain,False,no detectable trend,may_july
Mackenzie,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,5.592756126983535,5.634723543039633,-0.016611939667603087,39.040896647702354,0.14526533648011497,0.10302075275723592,-0.016004888588280863,-0.1341991341991342,0.4020304086977944,-0.2970259973871375,-6.237545945129887,flat_or_uncertain,False,no detectable trend,may_july
Mackenzie,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.04028689982585729,0.0378503015980913,2.2995202804957184e-05,-0.006013941021923999,0.9507131841490216,0.0001958459050005536,-0.00028531502216207156,-0.14285714285714285,0.3711989339777388,0.057078610924035905,1.198650829404754,flat_or_uncertain,False,no detectable trend,spring_transition
Mackenzie,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.02729699439352491,0.025937531797470242,0.0002537171002386735,-0.4835623869370443,0.24273595531128658,0.06755754344835571,0.00029930547453676463,0.25541125541125537,0.10236227652840134,0.9294689978720057,19.518848955312116,flat_or_uncertain,False,no detectable trend,spring_transition
Mackenzie,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,10.066326545454546,9.689760000000001,-0.0029775557312253535,16.061635010276795,0.9628713851360914,0.00011108352607686932,-0.05393828571428586,-0.14285714285714285,0.3711989339777388,-0.02957936758538665,-0.6211667192931196,flat_or_uncertain,False,no detectable trend,spring_transition
Mackenzie,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,3.956258250101739,3.9059541314927504,-0.001795382993990419,7.571261908501448,0.8464116491621387,0.001921577062599642,-0.0075712965501526066,-0.1515151515151515,0.34184283041857333,-0.04538083412386562,-0.952997516601178,flat_or_uncertain,False,no detectable trend,spring_transition
Mackenzie,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.14768098165873608,0.13826352542040454,-0.0007992226426137354,1.7569157725614923,0.5002027538756586,0.023029874174467533,-0.0016894105576942854,-0.18614718614718614,0.23937855648715442,-0.5411818323774376,-11.364818479926189,flat_or_uncertain,False,no detectable trend,winter
