river,year,annual_flux_TgC,annual_Q_volume_km3,annual_mean_DOC_mgC_L,flow_weighted_DOC_mgC_L,annual_flux_yield_gC_m2_yr,n_days_with_flux,coverage_rate,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,caveat_reason
Yenisey,2018,3.967195393078756,475.4350079999999,6.168612244399623,8.344348494166328,,212.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2019,3.396876226517367,422.265312,6.07218484748964,8.044412197697563,,200.0,1.0,medium,True,False,meets_core_annual_criteria
Yenisey,2020,3.5358441560238427,447.203808,6.635039987863351,7.906560929874377,,197.0,1.0,high,True,True,meets_core_annual_criteria
Yenisey,2021,4.925728616807294,569.2464,7.390877055841796,8.653069420917362,,201.0,1.0,medium,True,False,meets_core_annual_criteria
Yenisey,2022,3.991113124260477,490.54464,6.993139502045971,8.13608548298576,,198.0,1.0,high,True,True,outside_training_year_range
Yenisey,2023,4.553421604243365,531.36,7.2027348262872435,8.56937218504096,,197.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2024,4.787767362427103,555.69024,7.217800168612907,8.615892484322027,,204.0,1.0,medium,True,False,outside_training_year_range
Yenisey,2025,0.8118524062248996,110.67839999999997,5.644419959382378,7.335238006918238,,61.0,1.0,medium,False,False,outside_core_2003_2024_period;outside_training_year_range
Yukon,2000,0.0,,,,,0.0,0.0,low,False,False,missing_critical_metrics;coverage_lt_0_90;annual_flux_nonpositive
Yukon,2001,1.4146624639735046,205.95090240000002,4.45471597526326,6.868930640691888,,275.0,0.7534246575342466,low,False,False,coverage_lt_0_90
Yukon,2002,1.2715325070985593,205.18220159999998,4.139575814599883,6.197089694833254,,365.0,1.0,high,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Yukon,2003,1.1421434482009216,197.9210592,4.194064765807974,5.77070197995849,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2004,1.0684790024962143,182.72554560000003,3.7337406116278262,5.8474527958734095,,366.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2005,1.8696873336400528,247.4459712,4.681455154346997,7.555941705467756,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Yukon,2006,1.4158400144892749,219.75528959999997,4.397844581862316,6.44280288800509,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2007,1.048010330324265,190.30731839999999,3.9618987424898715,5.5069365652112765,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Yukon,2008,1.2230967772447396,202.9065984,4.109152349524618,6.027880743600005,,366.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Yukon,2009,1.3235065861619275,204.63520319999998,4.2465419295780285,6.467638829807791,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2010,0.9354817786977866,177.63710399999997,3.657676912785491,5.266252137829191,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2011,1.2846765385673722,210.1629024,4.3027740845019045,6.112765497129773,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2012,1.5280901963114486,232.6714848,4.71233747055859,6.5675869031607625,,366.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2013,1.3326437301309204,213.1341984,4.335852566030128,6.252603946879885,,365.0,1.0,high,True,True,point_prediction_clipped_days_present
Yukon,2014,1.4341983650643937,226.6488864,4.88794385337848,6.327842099048555,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2015,1.3016945446048895,213.21195840000001,4.73004479001615,6.105166681893249,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2016,1.595349758786363,242.58994560000002,5.2601753353623115,6.576322670094877,,366.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2017,1.0604354562671892,191.97760319999998,4.326049035033489,5.523745679658475,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2018,1.4808705197028114,228.49931519999998,4.912847699881896,6.480853206963184,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2019,1.2641426432273928,210.4641792,4.99013509444575,6.0064503519437515,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2020,1.8664323129515787,262.3612896,5.528620466137184,7.113977507113071,,366.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2021,1.4745661130220755,230.1901632,5.178991377877354,6.4058606698189084,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2022,1.7598379120113845,255.3700608,5.324497281172938,6.891324325562382,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2023,1.8549181354595887,258.44045760000006,5.5578111160328065,7.177352000864081,,365.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2024,1.631706288700212,247.09665599999997,5.581587266652555,6.603514248692269,,366.0,1.0,high,True,True,meets_core_annual_criteria
Yukon,2025,1.5078134000430934,210.32352000000003,5.809630992128874,7.169019423234705,,279.0,1.0,high,False,True,outside_core_2003_2024_period;outside_training_year_range
